"move","input","cancel","damage","p1","p2","guard","level","attribute","startup","active","recovery","frame_adv_block","counterhit","untechable"
,"5A","cSJR",210,90,82,"All",1,"HB",7,3,7,2,9,12
,"5B","SR",480,100,86,"L",2,"F",10,3,14,-3,22,14
,"5C","SR",980,90,92,"All",4,"HB",15,4,18,-3,30,26
,"2A","SJR",280,80,86,"All",2,"BF",8,3,9,2,16,14
,"2B","SR",600,100,89,"L",3,"F",11,3,9,5,16,17
,"2C","SR",1020,100,92,"HLB",4,"HBF",15,2,39,-22,42,32
,"6A","SJR",800,100,89,"All",3,"HB",21,7,29,-19,41,17
,"6B","SR",700,85,92,"H",4,"HBF",24,2,28,-11,40,19
,"6C","SJhR",1050,100,80,"HA",4,"HBF",28,2,33,-16,53,32
,"3C","R",760,80,75,"L",3,"F",14,3,22,-8,24,20
,"jA","R",250,100,82,"H",0,"H",7,3,9,"-",14,10
,"jB","R",700,80,89,"H",3,"H",12,9,12,"-",29,17
,"jC","R",900,100,92,"H",4,"H",13,5,12,"-",27,19
,"j2C","R",1100,100,92,"H",4,"H","15(5)","during fall till 2F after landing",18,-1,"2F after landing",24
,"Forward throw","SR","0,1140",100,"100,70",210000,"0,4","ground throw",6,3,15,"-","during move",60
,"Backward throw","SR",1140,100,"100,70",210000,"0,4","ground throw",7,3,15,"-","during move",60
,"Air throw","SR",1649,100,"100,70",160000,"0,3","air throw",6,2,10,"-","during move",60
,"Counter Assault","R",0,50,82,"H",0,"HB",16,2,33,-25,"during move",10
,"5D","SR",1040,85,92,"All",4,"HB",23,4,23,2,33,19
,"2D","R",1200,100,92,"All",4,"HBF",26,10,24,-1,47,38
,"4D","R",800,75,80,"All",4,"HB",13,5,20,0,"During move",24
,"jD","R",1080,100,92,"A",4,"H",21,3,18,"-","during move",19
,"Magnetism Gauge","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A Tager Buster","360A","-","0,2700",100,"100,82,100,60",275000,"0x3,4","ground throw",11/01/31,1,40,"-","during move",100
"B Tager Buster","360B","-","0,3724",100,"100,82,100,48",210000,"0x3,4","ground throw",6,02/10/10,29,"-","during move",100
"Atomic Collider","623C","R","0,1850",100,"100,80","-","0,4","AA throw","17,60",4,19,"-","during move",51
"A Sledge","236A","R",980,70,80,"All",3,"HB",19,3,21,-2,35,36
"B Sledge","236B","R",1100,70,70,"All",4,"HB",35,6,15,3,51,40
"Hammer","236A after any Sledge","R",1200,100,85,"H",4,"HBF",24,16,20,-17,47,44
"Spark Bolt","41236D","R",1100,75,80,"All",4,"HBP",13,"-","total 48F",-1,"during move",50
"Voltec Charge","421B","-","-","-","-","-","-","-","-","-","total 39-113F","-","during move","-"
"Gadget Finger","22D","R",0,100,"100,60",35000,0,"down throw",7,01/01/39,16,3,"during move","-"
"Magna-Tech Wheel","236236B","R","40x19, 2891",80,"88x19,70","Allx19, H",4,"HBx19, HBF","7+12","4,2x28(15)3",72,-56,115,"60x19,200"
"Terra Break","236236B after Magna-Tech Wheel","-",3500,100,45,"All",4,"HB","9+25",3,43,-27,64,80
"Genesic Emerald Tager Buster","720C","-","0x3,5620",100,"100,82,100,92",320000,"0x3,4","ground throw","5+0",05/01/57,41,"-","during move",100
"King of Tager","1080D","-","death","-","-",320000,0,"Unblockable","5+16",4,76,"-",83,"-"
