"move","input","cancel","damage","p1","p2","guard","level","attribute","startup","active","recovery","frame_adv_block","counterhit","unteachable"
,"5A","cSJR",130,80,82,"All",0,"HB",6,6,9,-5,14,11
,"5B","SJR",410,100,90,"All",2,"HB",8,1,14,-1,18,14
,"5C(1)","cSR",128,85,99,"All",3,"HBP",16,4,33,-14,"during move",17
,"5C(2-8)","cSR",128,85,99,"All",3,"HBP",10,4,27,-8,"during move",17
,"2A","cSR",110,80,82,"All",0,"F",8,4,12,-6,17,10
,"2B","SR",230,70,84,"L",1,"F",9,4,10,-2,16,12
,"2C","SJR","112x8",80,88,"Bx2, Allx6",3,"HB",14,"1x6,2,2",24,-9,34,24
,"6A","SJR",620,75,91,"HLB",3,"HB",11,3,20,-6,23,26
,"6B","SJR",680,90,91,"All",3,"HB",11,3,20,-6,24,17
,"4B","R",300880,80,"82,91","All, H","0,3","HB",9,"2(6)2",30,-15,38,"6,52"
,"6C","SR","144x8",90,88,"All",4,"HBF",22,"1x8",24,-3,41,44
,"3C","SR","96x8",85,88,"Lx2, Allx6",3,"F",11,"1x7,2",23,-8,34,36
,"jA","cSR",110,80,82,"H",0,"H",8,2,15,"-",18,10
,"jB","SJR",340,90,84,"H",1,"H",9,4,12,"-",16,12
,"jC","SJR","112x8",90,88,"H",2,"H",11,"1x2,2x6",25,"-",39,20
,"j2C","SJR","120x8",100,88,"H",2,"H",17,"1x8",10,"-",28,20
,"Forward throw","-","0,1000",100,"100,60",80000,"0,4","ground throw",7,3,26,"-",27,100
,"Backward throw","-","0,1000",100,"100,60",80000,"0,4","ground throw",7,3,26,"-",27,100
,"Air throw","R","0,2000",100,"100,60",120000,"0,4","air throw",7,3,18,"-",21,60
,"Counter Assault","R",0,50,82,"All",0,"HB",9,3,27,-20,27,10
,"5D","SR",480,85,91,"All",3,"HBP",15,12,48,-17,36,22
,"5D(2)","SR",200,85,94,"All",4,"HBP",9,13,47,-10,35,22
,"2D","SJR",480,85,91,"All",3,"HBP",11,15,45,-18,19,22
,"2D(2)","SJR",200,85,91,"All",3,"HBP",4,13,48,-14,26,28
,"6D","SJR",480,85,91,"All",3,"HBP",15,9,47,-15,38,22
,"6D(2)","SJR",200,85,91,"All",3,"HBP",4,13,60,-30,45,22
,"4D","SR",480,85,91,"H",3,"HBP",30,2,57,-11,48,22
,"4D(2)","SR",200,85,94,"All",4,"HBP",9,13,50,-13,38,30
,"jD","SR",480,85,91,"All",3,"HBP",13,8,47,"-",27,22
,"jD(2)","SJhR",200,85,91,"All",3,"HBP",4,13,5,"-",17,22
,"j2D","SR",480,85,91,"All",3,"HBP",13,8,47,"-",17,22
,"j2D(2)","SJhR",200,85,91,"All",3,"HBP",4,13,5,"-",17,22
"Spike Chaser","214D","R",1200,80,90,"All",4,"HBP",35,"-",71,-3,51,32
"C Spike Chaser","214D~C","R",1200,80,90,"All",4,"HBP",63,"-",76,20,66,32
"Sickle Storm","236D","R","300x4",90,91,"All",3,"FP",44,"5(6)5(6)5(6)5",68,41,53,20
"C Sickle Storm","236D~C","R","300x4",90,91,"All",3,"FP",50,"5(6)5(6)5(6)5",68,47,53,20
"Crescent Saber","j214D","R",1000,80,91,"H",3,"HBP",17,4,57,-8,41,40
"C Crescent Saber","j214D~C","-","-","-","-","-","-","-",12,"-",21,"-","during move","-"
"Gravity Field","214A or B or C","R",100,60,99,"All",0,"HB",19,3,31,-24,39,50
"Field","-","-","-","-","-","-","-","-",41,180,"-","-","-","-"
"Act Parser Zwei","236A","-","-","-","-","-","-","-","-","-",38,"-","during move","-"
"Zwei Blade","236B","R",1050,100,70,"L",5,"F",18,2,19,0,38,28
"Zwei Cavalier","236C","R",1250,80,94,"HLB",5,"HB",30,4,21,-4,42,64
"Legacy Edge","236236D","R","170x22",85,97,"All",4,"HBP",26,"-",57,73,45,40
"Calamity Sword","632146D","R",2800,90,90,"HB",4,"HBP",14,9,49,-25,59,46
"Calamity Sword(air)","j632146D","R",2800,90,90,"H",4,"HBP",19,9,5,"-",54,46
"Astral","222D","-","death","-","-",40000,0,"ground throw",13,8,25,"-",37,"-"
