Move,Command,Startup,Active,Recovery,frame_adv_hit,frame_adv_block,Damage,Stun,Total,Hitstop,Chip,"block","Cancel Ability","CH hit adv.","CH Damage","CH Stun","KD Adv.","KDR Adv.","KDRB Adv."
"stand LP",-,5,2,10,4,3,40,90,,,0,H,"SP,V",6,48,108,,,
"stand MP",-,7,2,16,4,-1,60,120,,,10,H,"SP,V",6,72,144,,,
"stand HP",-,14,2,22,-2,-6,90,150,,,15,H,V,0,108,180,,,
"stand LK",-,4,2,7,6,3,30,90,,,0,H,"SP,V",8,36,108,,,
"stand MK",-,8,3,16,2,-2,70,120,,,12,H,V,4,84,144,,,
"stand HK",-,12,3,20,6,0,100,150,,,17,H,V,29,120,180,,,
"crouch LP",-,5,2,11,4,2,40,90,,,0,H,V,6,48,108,,,
"crouch MP",-,6,6,15,0,-5,70,120,,,12,H,"SP,V",2,84,144,,,
"crouch HP",-,10,4,26,KD,-9,90,150,,,15,H,"SP,V",0,108,180,93,32,37
"crouch LK",-,4,2,11,4,2,30,90,,,0,L,V,6,36,108,,,
"crouch MK",-,10,2,18,-1,-4,60,120,,,10,L,V,1,72,144,,,
"crouch HK",-,12,3,25,KD,-11,100,150,,,17,L,V,KD,120,180,69,20,25
"jump LP",-,4,5,-,-,-,50,90,,,0,M,-,-,60,108,,,
"jump MP",-,7,6,-,-,-,70,120,,,12,M,-,-,84,144,,,
"jump HP",-,7,5,-,-,-,100,150,,,17,M,-,-,120,180,,,
"jump LK",-,5,5,-,-,-,50,90,,,0,M,-,-,60,108,,,
"jump MK",-,7,4,-,-,-,70,120,,,12,M,-,-,84,144,,,
"jump HK",-,9,5,-,-,-,100,150,,,17,M,-,-,120,180,,,
"bull charge",f+HP,25,4,18,3,-7,100,150,,,17,H,-,"KD 118",120,180,,,
"bull slider",df+HP,19,5,22,-1,-5,100,150,,,17,L,-,1,120,180,,,
"bull drop",f+HK,7,3(12)4,18,2,-4,40*80,50*100,,,7*13,H*M,-,2,48*80,60*100,,,
"bad hammer","d+HP > HP",7,5,31,KD,-,90*54,150*135,,,-,H*H,-,KD,54,135,62,1,6
"bad skull","N or f+LP+LK",5,2,18,KD,-,150,200,,,-,T,-,KD,150,200,71,12,12
"bad chain",b+LP+LK,5,2,18,KD,-,75*75,100*100,,,-,T,-,-,75*75,100*100,74,15,15
"break time",MP+MK,,-,-,,-,,,52,,-,-,-,-,-,-,,,
"banana time",b+MP+MK,50,-,9,29,2,10,0,,,2,H,-,,12,0,,,
"drink time",d+MP+MK,50,-,11,28,10,10,0,,,2,H,-,,12,0,,,
"enjoy time",HP+HK,,16,,,-,,,,,-,-,-,-,-,-,,,
"pepper pot","f+PPP in block",16,2,19,KD,-2,60,0,,,,H,,,,,,,
"bull head LP",qcf+LP,14,3,29,KD,-10,120,200,,,30,H,"CA,V",KD,144,240,85,26,31
"bull head MP",qcf+MP,18,3,30,KD,-10,130,200,,,33,H,"CA,V",KD,156,240,85,25,30
"bull head HP",qcf+HP,27,3,24,KD,-5,140,200,,,35,H,"CA,V",KD,168,240,90,31,36
"bull head EX",qcf+PP,14,4(26)4,28,KD,-10,80*80,100*150,,,20*20,H*H,V,KD,96*80,180*150,85,26,30
"bull horn","hold any button, release",15,6,29,KD,-18,130,200,,,33,H,"CA,V",KD,156,240,89,30,35
"bull horn EX","hold any 2 button, release",15,9(11)4,32,KD,-19,75*75,50*200,,,19*19,H*H,V,KD,90*75,60*200,88,29,34
"killing head LP",hcb+LP,5,2,52,KD,-,20*160,40*160,,,-,T,-,KD,20*160,40*160,82,23,23
"killing head MP",hcb+MP,5,2,52,KD,-,20*20*150,40*40*140,,,-,T,-,KD,20*20*150,40*40*140,82,23,23
"killing head HP",hcb+HP,5,2,52,KD,-,20x3*140,40x3*120,,,-,T,-,KD,20x3*140,40x3*120,82,23,23
"killing head EX",hcb+PP,5,2,52,KD,-,10x6*160,30x6*90,,,-,T,-,KD,10x6*160,30x6*90,82,23,23
"hanging chain LK",qcf+LK,25,16,24,KD,-23,140,200,,,0,H,-,KD,140,200,79,20,20
"hanging chain MK",qcf+MK,25,16,24,KD,-23,150,200,,,0,H,-,KD,150,200,68,19,19
"hanging chain HK",qcf+HK,25,16,31,KD,-,160,200,,,-,H,-,KD,160,200,81,22,22
"hanging chain EX",qcf+KK,15,17,21,KD,-21,70*100,100*100,,,0,H,-,KD,70*100,100*100,78,29,29
"hanging chain cancel","hold K, press P",-,-,17,-,-,-,-,,,-,-,-,-,-,-,-,,
"bull revenger LK",hcb+LK,35,2,28,KD,-,70*70*30,100*100*30,,,-,T,-,KD,70*70*30,100*100*30,69,20,20
"bull revenger MK",hcb+MK,40,2,28,KD,-,70*70*40,100*100*30,,,-,T,-,KD,70*70*40,100*100*30,69,20,20
"bull revenger HK",hcb+HK,43,2,28,KD,-,70*70*50,100*100*30,,,-,T,-,KD,70*70*50,100*100*30,69,20,20
"bull revenger EX",hcb+KK,25,11,47,KD,-,50*50*100,50*50*130,,,-,T,-,KD,50*50*100,50*50*130,69,20,20
"skip to my chain","qcf,qcf+P",6,5,60,KD,-30,50x3*200,0*0*0*0,,,50,H,-,KD,60*50*50*200,0*0*0*0,36,36,36
