Move,Command,Startup,Active,Recovery,frame_adv_hit,frame_adv_block,Damage,Stun,Total,Hitstop,Chip,"block","Cancel Ability","CH hit adv.","CH Damage","CH Stun","KD Adv.","KDR Adv.","KDRB Adv.",
"stand LP",,4,2,8,5,2,30,70,,,0,H,"CH,SP,V",7,36,84,,,,
"stand MP",,5,2,10,6,3,60,100,,,10,H,"SP,V",5,72,120,,,,
"stand HP",,11,2,16,0,-3,80,100,,,13,H,"CA,V",2,96,180,,,,
"stand LK",,4,3,7,1,-3,40,70,,,0,H,"SP,V",3,48,84,,,,
"stand MK",,8,3,15,2,-2,60,100,,,10,H,V,4,72,120,,,,
"stand HK",,12,3,16,1,-2,90,150,,,15,H,V,21,108,180,,,,
"crouch LP",,3,2,6,5,2,20,70,,,0,H,"CH,SP,V",7,24,84,,,,
"crouch MP",,10,9,18,-3,-8,60,100,,,10,L,V,-1,72,120,,,,
"crouch HP",,7,2(10)2,14,2,-5,60*40,100*50,,,10*7,H*H,"SP,V",2,72*40,120*50,,,,
"crouch LK",,3,2,8,1,-1,20,70,,,0,L,"CH,V",3,24,84,,,,
"crouch MK",,6,2,15,0,-2,50,100,,,8,L,"SP,V",0,60,120,,,,
"crouch HK",,7,3,24,KD,-12,100,150,,,17,L,V,KD,120,180,65,16,21,
"jump LP",,3,5,-,-,-,40,70,,,0,M,-,-,48,84,,,,
"jump MP",,6,4,-,-,-,60,100,,,10,M,-,-,72,120,,,,
"jump HP",,6,4(2)4,-,-,-,50*50,100*50,,,8,M*M,-,-,60*50,120*50,,,,
"jump LK",,4,7,-,-,-,40,70,,,0,M,-,-,48,84,,,,
"jump MK",,6,5,-,-,-,60,100,,,10,M,-,-,72,120,,,,
"jump HK",,5,6,-,-,-,90,150,,,15,M,-,-,108,180,,,,
tsuitotsuken,"b or f+MP",7,2,12,3,0,60,100,,,10,H,V,5,72,120,,,,
hakkei,b+HP,7,5,13,3,2,90,150,,,15,H,"SP,V","KD 97",108,180,,,,
senenshu,df+MK,26,2,16,0,-2,70,100,,,12,M,-,2,84,120,,,,
tenkukyaku,b+HK,8,5,13,2,0,70,150,,,12,H,V,4,84,180,,,,
yokusenkyaku,f+HK,18,5,13,2,-2,70,150,,,13,H,-,4,84,180,,,,
kakurakukyaku,df+HK,34,6,6,4,-2,80,150,,,13,M,-,-,96,180,,,,
yosokyaku,"d or df+MK during jump",5,4,-,-,,40,60,,,7*8*10,M,SP,-,48,72,,,,
"wall jump","uf during jump near wall",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
koshuto,LP+LK,5,2,18,KD,,120,170,,,-,T,-,KD,120,170,64,15,15,
"tenshin shushu",b+LP+LK,5,2,18,KD,,140,200,,,-,T,-,KD,140,200,72,23,23,
ryuseiraku,LP+LK(air),5,2,-,KD,,130,200,,,,T,-,KD,130,200,70,21,21,
renkiko,HP+HK,,,,,,,,54,,-,-,-,-,-,-,,,,
rankyaku,MP+MK,11,4,44,KD,-24,40,50,,,7,H,-,KD,48,60,71,12,17,
sohakkei,f+PPP,10,2,20,1,0,40,0,,,,H,,,,,,,,
"kikoken LP","b,f+LP",13,-,32,0,-6,60,100,,,10,H,CA,2,72,120,,,,
"kikoken MP","b,f+MP",11,-,32,-1,-5,60,100,,,10,H,CA,1,72,120,,,,
"kikoken HP","b,f+HP",9,-,32,-2,-4,60,100,,,10,H,CA,0,72,120,,,,
"kikoken EX","b,f+PP",11,-,27,4,1,40*60,0*100,,,7*10,H*H,-,4,48*60,0*100,,,,
"hyakuretsukyaku LK",qcf+LK,5,2x4,20,3,-8,20x4,20x4,,,5x4,H,CA,3,24*20x3,24*20x3,,,,
"hyakuretsukyaku MK",qcf+MK,10,2x5,20,2,-9,20x5,20x5,,,5x5,H,CA,2,24*20x4,24*20x4,,,,
"hyakuretsukyaku HK",qcf+HK,14,2x6,20,1,-10,20x6,20x6,,,5x6,H,CA,1,24*20x5,24*20x5,,,,
"hyakuretsukyaku EX",qcf+KK,5,2x10,19,KD,-2,10x9*50,10x9*150,,,3x9*13,H,-,KD,12*10x8*50,12*10x8*150,90,31,36,"video says she's -3, but ryu can't DP"
"air hyakuretsukyaku LK",qcf+LK(air),7,2x4,-,-,,20x4,20x4,,,5x4,H,-,-,24*20x3,24*20x3,,,,
"air hyakuretsukyaku MK",qcf+MK(air),8,2x5,-,-,,20x5,20x5,,,5x5,H,-,-,24*20x4,24*20x4,,,,
"air hyakuretsukyaku HK",qcf+HK(air),8,2x6,-,-,,20x6,20x6,,,5x6,H,-,-,24*20x5,24*20x5,,,,
"air hyakuretsukyaku EX",qcf+KK(air),6,2x7,-,-,,25x7,30x7,,,6x7,H,-,-,30*25x6,36*30x6,,,,
"spinning bird kick LK","d,u+LK",9,2x5,24,KD,-6,20x4*40,20*25x3*105,,,5x4*10,H,-,KD,24*20x3*40,24*20x3*40,91,32,37,
"spinning bird kick MK","d,u+MK",15,2x7,24,KD,-8,25*15x5*40,30*20x5*70,,,6*4x7*10,H,-,KD,30*15x5*40,36*20x5*70,91,32,37,
"spinning bird kick HK","d,u+HK",22,2x9,26,KD,-10,10*15x7*45,20x8*40,,,3*4x7*11,H,-,KD,12*15x7*45,24*20x7*40,89,30,35,
"spinning bird kick EX","d,u+KK",5,2x5,27,KD,-12,30x4*50,30x4*80,,,8x4*13,H,-,KD,36*30x3*50,36*30x3*80,80,21,26,
hoyokusen,"qcf,qcf+K",5,2,35,KD,-20,340,0,,,8*3x??*7,H,-,KD,346,0,99,40,40,
