Move,Command,Startup,Active,Recovery,frame_adv_hit,frame_adv_block,Damage,Stun,Total,Hitstop,Chip,Attack Level,Cancel Ability,CH hit adv.,CH Damage,CH Stun,KD Adv.,KDR Adv.,KDRB Adv.
stand LP,,3,2,9,3,1,30,70,,,0,H,"SP,V",5,36,84,,,
stand MP,,6,3,14,5,2,60,100,,,10,H,"SP,V",7,72,120,,,
stand HP,,9,5,19,1,-2,80,150,,,13,H,"SP,V",KD 94,96,180,,,
stand LK,,4,4,8,4,2,40,70,,,0,H,V,6,48,84,,,
stand MK,,5,2,13,6,2,60,100,,,10,H,"SP,V",8,72,120,,,
stand HK,,12,4,21,3,-4,90,150,,,15,H,V,19,108,180,,,
crouch LP,,3,2,8,3,1,20,70,,,0,H,"CH,SP,V",5,24,84,,,
crouch MP,,5,2,13,4,2,60,100,,,10,H,"SP,V",6,72,120,,,
crouch HP,,9,3,21,1,-4,80,150,,,13,H,"SP,V",3,96,180,,,
crouch LK,,4,2,9,3,1,20,70,,,0,L,V,5,24,84,,,
crouch MK,,8,3,15,0,-4,50,100,,,8,L,"SP,V",2,60,120,,,
crouch HK,,7,4,21,KD,-10,100,150,,,17,L,V,KD,120,180,72,,
jump LP,,3,6,-,-,-,40,70,,,0,M,-,-,48,84,,,
jump MP,,7,4,-,-,-,60,100,,,10,M,-,-,72,120,,,
jump HP,,7,5,-,-,-,90,150,,,15,M,-,-,108,180,,,
jump LK,,4,6,-,-,-,40,70,,,0,M,-,-,48,84,,,
jump MK,,6,5,-,-,-,60,100,,,10,M,-,-,72,120,,,
jump HK,,7,6,-,-,-,90,150,,,15,M,-,-,108,180,,,
opening dagger,df+HP,23,3,24,1,-4,80,100,,,13,M,-,20,96,120,,,
road of the sun,d+HK during jump,14,12,-,-,-,80,100,,,13,H,-,-,96,120,,,
sacrificial altar,MK > HK > MK+MP,5,-,-,KD,-9,60*54*32,100*90*40,,,7,H*H*H,"CA,V",KD,72*54*32,120*90*40,94,,
soul sealer,LP+LK,5,2,18,KD,-,50*70,20*150,,,,T,-,KD,50*70,20*150,74,,
soul discriminator,b+LP+LK,5,2,18,KD,-,55*65,0*170,,,,T,-,KD,55*65,0*170,81,,
torrent of power,HP+HK,,,,,-,,,56,,,-,-,-,-,-,,,
culminated power,n or b or f+MP+MK,25,3,29,KD,-2,50,100,,,8,H,-,KD,60,120,78,,
the calling,f+PPP,16,2,24,KD,-2,60,0,,,,H,,,,,,,
The Disc's Guidance LP,"b,f+LP",18,3,25,KD,-6,90,150,,,23,H,-,KD,108,180,88,,
The Disc's Guidance MP,"b,f+MP",21,3,26,KD,-6,110,150,,,28,H,-,KD,132,180,87,,
The Disc's Guidance HP,"b,f+HP",24,3,26,KD,-6,130,150,,,33,H,-,KD,156,180,87,,
The Disc's Guidance EX,"b,f+PP",17,,,KD,-13,35*35*90,25*25*150,,,9*9*23,H*H*H,-,KD,72*35*90,30*25*150,82,,
Raging Light LP,"f,d,df+LP",3,2(3)2,35,KD,-24,80,150,,,20,H,-,KD,96,180,82,,
Raging Light MP,"f,d,df+MP",5,3(3)3,37,KD,-28,30*70,30*120,,,8,H*H,-,KD,36*70,36*120,87,,
Raging Light HP,"f,d,df+HP",7,4(2)2,45,KD,-33,30*30*60,30*30*90,,,8*8,H*H*H,-,KD,36*30*60,36*30*90,77,,
Raging Light EX,"f,d,df+PP",3,10(1)3,42,KD,-36,20x4*70,20x4*120,,,5,H,-,KD,24*20x3*70,24*20x3*120,83,,
Mask of Tlalli LP,hcb+LP,8,2,52,KD,-,120,200,,,-,T,-,KD,120,200,50,,
Mask of Tlalli MP,hcb+MP,8,2,52,KD,-,130,200,,,-,T,-,KD,130,200,52,,
Mask of Tlalli HP,hcb+HP,8,2,52,KD,-,140,200,,,-,T,-,KD,140,200,57,,
Mask of Tlalli EX,hcb+PP,8,2,52,KD,-,60,50,,,-,T,-,KD,60,50,92,,
Valiant Rebellion LK,qcf+LK,14,3,20,2,-4,60,100,,,15,H,CA,3,72,120,,,
Valiant Rebellion MK,qcf+MK,19,3,30,5,-2,70,100,,,18,H,CA,7,84,120,,,
Valiant Rebellion HK,qcf+HK,23,3,16,KD,0,100,200,,,25,H,-,KD,120,240,95,,
Valiant Rebellion EX,qcf+KK,10,,,2,-2,50*70,100*100,,,13*18,H*H,-,2,60*70,120*100,,,
Ceremony of Honor,"qcf,qcf+P",7,2,45,KD,-25,340,0,,,50,H,-,KD,350,0,61,,
soul offering,"qcf,qcf+P",,,,,,,,,,,,,,,,,,
