Move,Command,Startup,Active,Recovery,frame_adv_hit,frame_adv_block,Damage,Total,Hitstop,Stun,Chip,Attack Level,Cancel Ability,CH hit adv.,CH Damage,CH Stun,KD Adv.,KDR Adv.,KDRB Adv.
stand LP,,5,2,9,5,1,30,,,70,0,H,"SP,V",7,36,84,,,
stand MP,,8,2,14,6,1,60,,,100,10,H,V,8,72,120,,,
stand HP,,8,2,21,5,-2,80,,,150,13,H,"SP,V",7,96,180,,,
stand LK,,3,2,9,4,2,30,,,70,0,H,V,6,36,84,,,
stand MK,,7,3,12,4,2,60,,,100,10,H,V,6,72,120,,,
stand HK,,11,3,17,4,-1,90,,,150,15,H,V,18,108,180,,,
crouch LP,,4,2,7,5,2,30,,,70,0,H,"SP,V",7,36,84,,,
crouch MP,,6,2,15,3,0,60,,,100,10,H,V,5,72,120,,,
crouch HP,,9,2,19,-2,-5,80,,,150,13,H,V,0,96,180,,,
crouch LK,,4,2,9,4,0,20,,,70,0,L,V,6,24,84,,,
crouch MK,,7,2,16,6,2,50,,,100,8,L,V,8,60,120,,,
crouch HK,,9,9,15,KD,-13,90,,,150,15,L,V,KD,108,180,71,,
jump LP,,4,5,-,-,-,40,,,70,0,M,-,-,48,84,,,
jump MP,,5,5,-,-,-,70,,,100,12,M,-,-,84,120,,,
jump HP,,7,4,-,-,-,90,,,150,15,M,-,-,108,180,,,
jump LK,,4,6,-,-,-,40,,,70,0,M,-,-,48,84,,,
jump MK,,5,7,-,-,-,70,,,100,12,M,-,-,84,120,,,
jump HK,,9,5,-,-,-,90,,,150,15,M,-,-,108,180,,,
mercury shard,f+MK,22,3,13,0,-4,60,,,100,10,M,-,2,72,120,,,
buster claw,f+HP,13,4,20,-3,-14,80,,,150,13,H,-,12,96,180,,,
matador flash,HP > HP > MP+MK (claw only),8,,,KD,-10,80*54,,,150*72,13*10,H*H,-,KD,96*54,180*72,77,,
matador blitz,MP > HK > MP+MK (claw off),6,,,KD,-16,60,,,100,10*13,H,SP,KD,72,120,78,,
wall jump,uf during jump near wall,,,,,-,,,,,,,-,,,,,,
rainbow suplex,LP+LK,5,2,18,KD,-,140,,,200,,T,-,KD,140,200,62,,
crescent line,b+LP+LK,5,2,18,KD,-,140,,,200,,T,-,KD,140,200,57,,
stardust shot,LP+LK(air),5,2,-,KD,-,130,,,200,,T,-,KD,130,200,-,,
bloody kiss torero,HP+HK,10,,,KD,-2,30*70*70,44,,0*0*0,8*18*18,H,-,KD,36*70*70,0*0*0,111,,
bloody kiss rojo,d+HP+HK,10,,,KD,-22,30*70*70,37,,0*0*0,8*18,H,-,KD,36*70*70,0*0*0,81,,
bloody kiss azul,HP+HK during forward jump,10,,,KD,-2,30*85*85,-,,0*0*0,8*21*21,H,-,KD,36*85*85,0*0*0,89,,
matador turn,MP+MK,22,2,31,KD,-13,90,36,,100,15,H,-,KD,108,120,77,18,23
backslash,f+PPP,,,,,,,41,,,,,,,,,,,
short backslash,f+KKK,,,,,,,31,,,,,,,,,,,
flying barcelona attack LK,"f,d,df+LK or b,d,db+LK",,,,,,,,,,,-,-,-,-,-,,,
flying barcelona attack MK,"f,d,df+MK or b,d,db+MK",,,,,,,,,,,-,-,-,-,-,,,
flying barcelona attack HK,"f,d,df+LK or b,d,db+HK",,,,,,,,,,,-,-,-,-,-,,,
flying barcelona attack EX,"f,d,df+KK or b,d,db+KK",9,,,KD,,40,,,0,10,H,-,KD,48,0,-,,
flying barcelona attack(claw),"f,d,df+K, then P(must have claw)",3,6,,KD,-,90,,,150,23,M,-,KD,108,180,,,
izuna drop,"f,d,df+K, then LP+LK",4,5,,KD,-,150,,,150,-,T,-,KD,180,180,,,
grand izuna drop LP,hcb+LP (claw off),6,2,44,KD,-,50*80,,,100*100,-,T,-,KD,50*80,100*100,63,,
grand izuna drop MP,hcb+MP (claw off),6,2,44,KD,-,50*90,,,100*100,-,T,-,KD,50*90,100*100,63,,
grand izuna drop HP,hcb+HP (claw off),6,2,44,KD,-,50*100,,,100*100,-,T,-,KD,50*100,100*100,63,,
grand izuna drop EX,hcb+PP (claw off),6,2,44,KD,-,80*100,,,100*150,-,T,-,KD,80*100,100*150,68,,
crimson terror LK,qcf+LK,8,2(16)5,10,0,-6,20*60,,,20*100,5*15,H*H,CA,0,24*60,24*100,,,
crimson terror MK,qcf+MK,17,2(11)2(21)5,12,-2,-7,20*20*60,,,20*20*100,5*5*15,H*H*H,CA,-2,24*20*60,24-20*100,,,
crimson terror HK,qcf+HK,19,4(12)2(10)3(22)5,14,KD,-8,20x3*60,,,20x3*100,5x3*15,H,CA,KD,24*20*20*60,24*20*20*100,89,,
crimson terror EX,qcf+KK,16,5(14)3(8)3(8)3(18)5,10,KD,-2,20x4*60,,,20x4*100,5x4*15,H,-,KD,24*20x3*60,24*20x3*100,97,,
aurora spin edge LP,qcb+LP,12,6,20,KD,-7,100,,,200,25,H,CA,KD,120,240,90,,
aurora spin edge MP,qcb+MP,15,6,18,KD,-6,100,,,200,25,H,CA,KD,120,240,92,,
aurora spin edge HP,qcb+HP,12,7,15,KD,-,100,,,200,-,H,CA,KD,120,240,-,,
aurora spin edge EX,qcb+PP,12,7(12)4,21,KD,-3,50*100,,,100*100,13*25,H*H,-,KD,120*100,120*100,86,,
switch claw,qcf+P,,,,,,,23,,,,-,-,-,-,-,,,
bloody rain,"qcf,qcf+P or qcb,qcb+P",9,8,29,KD,-22,330,,,0,5,H,-,KD,334,0,80,,
