Move,Command,Startup,Active,Recovery,frame_adv_hit,frame_adv_block,Damage,Stun,Total,Hitstop,Chip,Attack Level,Cancel Ability,CH hit adv.,CH Damage,CH Stun,KD Adv.,KDR Adv.,KDRB Adv.,
stand LP,,7,4,7,5,3,40,70,,,0,H,"SP,V",7,48,84,,,,5f s.lp as anti-air
stand MP,,6,2,12,3,1,70,100,,,12,H,V,5,84,120,,,,
stand HP (hold),,16(37),4,23,1 (KD),-3 (1),100(130),150,,,17 (22),H,V,27,120(156),180,94,,,
stand LK,,5,2,12,2,0,30,70,,,0,H,"SP,V",4,36,84,,,,
stand MK,,9,3,17,0,-3,70,100,,,12,H,V,2,84,120,,,,
stand HK,,11,4,22,1,-2,90,150,,,15,H,V,KD 109,108,180,,,,
crouch LP,,4,3,6,5,3,30,70,,,0,H,"SP,V",7,36,84,,,,
crouch MP,,7,3,12,5,3,60,100,,,10,H,"SP,V",7,72,120,,,,
crouch HP,,9,6,20,1,-4,100,150,,,17,H,"CA,V",3,120,180,,,,
crouch LK,,4,2,8,4,1,30,70,,,0,L,"SP,V",6,36,84,,,,
crouch MK,,8,2,16,0,-4,60,100,,,10,L,"SP,V",2,72,120,,,,
crouch HK,,10,3,26,KD,-10,100,150,,,17,L,V,KD,120,180,68,,,
jump LP,,5,5,-,-,-,50,70,,,0,M,-,-,60,84,,,,
jump MP,,6,4,-,-,-,80,100,,,13,M,-,-,96,120,,,,
jump HP,,7,6,-,-,-,100,150,,,17,M,-,-,120,180,,,,
jump LK,,6,5,-,-,-,50,70,,,0,M,-,-,60,84,,,,
jump MK,,7,3,-,-,-,70,100,,,12,M,-,-,84,120,,,,
jump HK,,9,5,-,-,-,100,150,,,17,M,-,-,120,180,,,,
head butt,f+HP,12,4,14,7,2,100,200,,,17,H,CA,9,120,240,,,,
knee hammer,f+MK,12,4,12,3,-3,70,100,,,12,H,-,5,84,120,,,,
flying body press,d+HP during jump,7,7,-,-,,100,150,,,17,M,-,-,120,180,,,,
atomic drop,LP+LK,5,2,18,KD,-,130,170,,,-,T,-,KD,130,170,64,,,
captured,b+LP+LK,5,2,18,KD,-,130,170,,,-,T,-,KD,130,170,74,,,
cyclone lariat,HP+HK,27,,,KD,,20x9,20x8*90,,,,H,-,KD,24*20x8,24*20x7*90,131,,,
iron muscle,MP+MK (hold),,,,2,-2,50,100,25,,8,H,-,4,60,120,,,,
muscle explosion,f+KKK,10,2,17,3,-2,60,0,,,,H,,,,,,,,
screw pile driver LP,360+LP,5,2,52,KD,-,180,250,,,-,T,-,KD,180,250,71,,,
screw pile driver MP,360+MP,5,2,52,KD,-,200,250,,,-,T,-,KD,200,250,76,,,
screw pile driver HP,360+HP,5,2,52,KD,-,240,250,,,-,T,-,KD,240,250,76,,,
screw pile driver EX,360+PP,5,2,52,KD,-,240,300,,,-,T,-,KD,240,300,76,,,
double lariat,PPP,9,6(5)4(8)3,31,KD,-35,100,200,,,25,H,-,KD,120,200,75,,,
siberian express LK,hcb+LK,17,2,52,KD,-,170,200,,,-,T,-,KD,170,200,73,,,
siberian express MK,hcb+MK,23,2,52,KD,-,200,200,,,-,T,-,KD,200,200,73,,,
siberian express HK,hcb+HK,30,2,52,KD,-,220,200,,,-,T,-,KD,220,200,73,,,
siberian express EX,hcb+KK,15,2,52,KD,-,200,200,,,-,T,-,KD,200,200,68,,,
borscht dynamite LP,360+LP(air),3,4,37,KD,-,50*130,100*150,,,-,T,-,KD,50*130,100*150,72,,,
borscht dynamite MP,360+MP(air),3,4,37,KD,-,50*150,100*150,,,-,T,-,KD,50*150,100*150,72,,,
borscht dynamite HP,360+HP(air),3,4,37,KD,-,50*170,100*150,,,-,T,-,KD,50*170,100*150,72,,,
borscht dynamite EX,360+PP(air),4,4,37,KD,-,50*150,100*150,,,-,T,-,KD,50*150,100*150,76,,,
bolshoi russian suplex,720+P,1,2,65,KD,-,50*50*300,0,,,-,T,-,KD,50*50*300,0,60,,,
