"move","command","block","damage","startup","active","recovery","frame_adv_hit","frame_adv_block","cancel","total","meter","Notes"
"Far LP",,"H",30,3,3,7,7,3,"SM,EX,SA,CA",-0,-0,"Rapid fire cancelable into light normal attacks"
"Far MP",,"H",60,7,4,16,2,-2,"SM,EX,SA,CA",-0,-0,-0
"Far HP",,"H",90,7,2,23,0,-5,"SM,EX,SA,CA",-0,-0,-0
"Far LK",,"H",30,5,3,9,5,1,"SM,EX,SA,CA",-0,-0,-0
"Far MK",,"H",60,7,2,17,2,-2,-0,-0,-0,-0
"Far HK",,"H",90,9,2,24,-1,-6,-0,-0,-0,-0
"Close LP",,"H",30,3,2,8,7,3,"SM,EX,SA,CA",-0,-0,"Rapid fire cancelable into light normal attacks"
"Close MP",,"H",60,4,4,11,6,2,"SM,EX,SA,CA",-0,-0,-0
"Close HP",,"H",75,4,4,14,8,2,"SM,EX,SA,CA",-0,-0,"forces standing"
"Close LK",,"H",30,3,2,9,6,2,"SM,EX,SA,CA",-0,-0,-0
"Close MK",,"H",60,5,3,17,1,-3,"SM,EX,SA,CA",-0,-0,-0
"Close HK",,"H",90,10,5,24,-3,-9,"LA, jump",-0,-0,"forces standing"
"Crouch LP",,"H",30,3,2,9,6,2,"SM,EX,SA,CA",-0,-0,"Rapid fire cancelable into light normal attacks"
"Crouch MP",,"H",60,6,4,11,6,2,"SM,EX,SA,CA",-0,-0,-0
"Crouch HP",,"H",90,6,4,13,9,3,"SM,EX,SA,CA",-0,-0,"forces standing"
"Crouch LK",,"L",30,3,3,9,5,1,"SM,EX,SA,CA",-0,-0,"Rapid fire cancelable into light normal attacks"
"Crouch MK",,"L",60,7,4,17,0,-4,"SM,EX,SA,CA",-0,-0,-0
"Crouch HK",,"L",90,7,2,24,"hard knockdown",-6,-0,-0,-0,-0
"Jump up LP",,"M",40,5,4,"until ground+4f",12,4,-0,-0,-0,-0
"Jump up MP",,"M",70,5,4,"until ground+4f",16,5,-0,-0,-0,-0
"Jump up HP",,"M",100,5,3,"until ground+4f",20,8,-0,-0,-0,-0
"Jump up LK",,"M",40,5,5,"until ground+4f",12,4,-0,-0,-0,-0
"Jump up MK",,"M",70,6,7,"until ground+4f",16,5,-0,-0,-0,-0
"Jump up HK",,"M",100,6,3,"until ground+4f",20,8,-0,-0,-0,-0
"Jump forward LP",,"M",40,5,5,"until ground+4f",12,4,-0,-0,-0,-0
"Jump forward MP",,"M",70,6,3,"until ground+4f",16,5,-0,-0,-0,-0
"Jump forward HP",,"M",100,6,4,"until ground+4f",20,8,"--",-0,-0,-0
"Jump forward LK",,"M",40,5,7,"until ground+4f",12,4,-0,-0,-0,-0
"Jump forward MK",,"M",70,6,4,"until ground+4f",16,5,-0,-0,-0,-0
"Jump forward HK",,"M",100,6,5,"until ground+4f",20,8,-0,-0,-0,-0
"Launcher",,"H",100,13,2,54,"switch",-34,-0,-0,-0,"Crushes crouching attacks, launches opponent while switching characters"
"Cross Cancel",,"H",120,6,26,30,"hard knockdown",-29,-0,-0,-0,"Similar to HK Cannon Spike, full body invulnerability frames 1-13"
"German Suplex","LP+LK","throw",130,7,2,20,"hard knockdown",-0,-0,-0,-0,-0
"Frankensteiner","b+LP+LK","throw",130,7,2,20,"hard knockdown",-0,-0,-0,-0,-0
"Flying Neck Breaker","LP+LK (air)","throw",140,7,2,20,"hard knockdown",-0,-0,-0,-0,-0
"Cannon Spike LK","f,d,df+LK","H",120,4,21,32,"knockdown",-29,-0,-0,-0,"Full body invulnerability frames 1-4"
"Cannon Spike MK","f,d,df+MK","H",13,4,26,30,"hard knockdown",-29,-0,-0,-0,"Full body invulnerability frames 1-4"
"Cannon Spike HK","f,d,df+HK","H",150,4,32,29,"hard knockdown",-29,-0,-0,-0,-0
"Cannon Spike EX","f,d,df+KK","H",180,5,26,30,"hard knockdown",-29,-0,-0,-0,"Full body invulnerability frames 1-11"
"Quick Spin Knuckle LP","hcb+LP","H","70,50",36,11,9,"knockdown",5,-0,-0,-0,"Full body invulnerability frames 1-4, mid body invulnerability frames 5-26, lower body projectile invulnerability frames 5-26, airborne frames 7-26"
"Quick Spin Knuckle MP","hcb+MP","H","70,50",34,11,10,"knockdown",4,-0,-0,-0,"Full body invulnerability frames 1-2, mid body invulnerability frames 3-26, lower body projectile invulnerability frames 3-26, airborne frames 7-25"
"Quick Spin Knuckle HP","hcb+HP","H","70,50",37,11,10,"knockdown",4,-0,-0,-0,"Full body invulnerability frames 1-2, mid body invulnerability frames 3-29, lower body projectile invulnerability frames 3-29, airborne frames 7-28"
"Quick Spin Knuckle EX","hcb+PP","H","80,60",35,11,10,"wall bounce",4,-0,-0,-0,"Full body invulnerability frames 1-26, airborne frames 7-26"
"Hooligan Combination LP","db,d,df,f,uf+LP",-0,-0,-0,-0,54,-0,-0,-0,-0,-0,"Input LP+LK between frames 32~53 for Fatal Leg Twister or Crossed Scissors, if no input before frame 55, attack becomes Razor’s Edge Slicer"
"Hooligan Combination MP","db,d,df,f,uf+MP",-0,-0,-0,-0,46,-0,-0,-0,-0,-0,"Input LP+LK between frames 32~44 for Fatal Leg Twister or Crossed Scissors, if no input before frame 46, attack becomes Razor’s Edge Slicer"
"Hooligan Combination HP","db,d,df,f,uf+HP",-0,-0,-0,-0,40,-0,-0,-0,-0,-0,"Input LP+LK between frames 32~38 for Fatal Leg Twister or Crossed Scissors, if no input before frame 40, attack becomes Razor’s Edge Slicer"
"Hooligan Combination EX","db,d,df,f,uf+PP",-0,-0,-0,-0,44,-0,-0,-0,-0,-0,"Input LP+LK between frames 32~43 for Fatal Leg Twister or Crossed Scissors, if no input before frame 45, attack becomes Razor’s Edge Slicer, homes to foe’s position"
"Razor's Edge Slicer","no input during hooligan","L",100,-0,9,13,0,"knockdown",-0,-0,-0,"Activates if no input occurs during Hooligan Combination"
"Fatal Leg Twister","LP+LK during hooligan","standing throw",160,1,2,"until ground+4f",-0,"hard knockdown",-0,-0,-0,-0
"Crossed Scissors","LP+LK during hooligan","throw",150,1,2,"until ground+4f",-0,"hard knockdown",-0,-0,-0,-0
"Cannon Strike","qcf+K during forward jump","H",60,19,11,"until ground+10f",6,13,-0,-0,-0,"Knockdown on airborne foes"
"Cannon Strike EX","qcf+KK (air)","H",80,18,11,"until ground+10f",11,18,-0,-0,-0,"Knockdown on airborne foes"
"Spiral Arrow LK","qcf+LK","L",80,12,19,19,"knockdown",-16,-0,-0,-0,"Can be Super Charged: 51 frames to perform EX version, 100 frames for Super Art, airborne frames 19-35"
"Spiral Arrow MK","qcf+MK","L",90,12,19,19,"knockdown",-16,-0,-0,-0,"Can be Super Charged: 51 frames to perform EX version, 100 frames for Super Art, airborne frames 19-35"
"Spiral Arrow HK","qcf+HK","L","70,50",12,19,19,"knockdown",-4,-0,-0,-0,"Can be Super Charged: 51 frames to perform EX version, 100 frames for Super Art, airborne frames 19-35"
"Spiral Arrow EX","qcf+KK","L","50,30",9,19,14,"knockdown",-4,-0,-0,-0,"Can be Super charged: 51 frames to perform Super Art, projectile invulnerability frames 1-27, airborne frames 16-31"
"Spin Drive Smasher","qcf+KKK","L","40x2,20,10x2,30,20,15x9",8,18,52,"hard knockdown",-36,-0,-0,-0,"65 frame cinematic freeze before attack begins, full body invulnerability frames 1-24, airborne frames 4-35"
"Cross Art","qcf+MP+MK","H","20,10x4,40",8,2,40,"switch",-27,-0,-0,-0,"63 frame cinematic freeze before attack begins, full body invulnerability frames 1-9, airborne frames 4-27"
