"move","block","damage","stun","meter","cancel","startup","active","recover","frame_adv_block","frame_adv_hit"
"Close Light Punch ","HL ",30,50,20,"C*Sp*Su ",4,3,5,3,6
"Close Medium Punch ","HL ",70,100,40,"Sp*Su ",5,5,15,-6,-1
"Close Hard Punch ","HL ",90,200,60,"Sp*Su ",8,4,15,-1,2
"Close Light Kick ","HL ",35,50,20,"Sp*Su ",5,4,7,1,4
"Close Medium Kick ","HL ",75,100,40,"Sp*Su ",6,6,9,-1,2
"Close Hard Kick ","HL ",120,200,60,"- ",7,3,21,-6,-2
"Far Light Punch ","HL ",30,50,20,"C*Sp*Su ",3,3,6,2,5
"Far Medium Punch ","HL ",80,100,40,"Su ",7,4,13,-3,0
"Far Hard Punch ","HL ",120,200,60,"- ",8,3,14,1,5
"Far Light Kick ","HL ",40,50,20,"Sp*Su ",5,3,8,0,3
"Far Medium Kick ","HL ",75,100,40,"- ",8,4,13,-3,0
"Far Hard Kick ","HL ","40*80 ","100*100 ","40*40 ","- ",9,"2*4 ",17,-3,1
"Crouch Light Punch ","HL ",30,50,20,"Sp*Su ",3,3,6,2,5
"Crouch Medium Punch ","HL ",60,100,40,"Sp*Su ",5,2,11,1,4
"Crouch Hard Punch ","HL ",100,200,60,"Su ",11,3,16,-1,2
"Crouch Light Kick ","L ",40,50,20,"Sp*Su ",4,2,7,2,5
"Crouch Medium Kick ","L ",70,100,40,"Sp*Su ",6,2,14,-2,1
"Crouch Hard Kick ","L ",110,200,60,"- ",9,2,21,-5,"- "
"Jaguar Crunch (F+Medium Punch) ","H ","30*50 ","50*50 ","40*20 ","- ",23,4,13,-2,2
"Focus Attack Level 1 ","HL ",60,100,20,"- ",21,2,39,-25,-25
"Focus Attack Level 2 ","HL ",80,150,40,"- ",29,2,39,-19,"- "
"Focus Attack Level 3 ","- ",140,200,60,"- ",61,2,44,"- ","- "
"Focus Attack Level 1 (Dash Cancel) ","HL ",60,100,20,"- ",21,2,39,-3,-3
"Focus Attack Level 2 (Dash Cancel) ","HL ",80,150,40,"- ",29,2,39,3,"- "
"Forward Throw "," ??? ",130,140,40,"- ",3,2,20,"- ","- "
"Back Throw "," ??? ",130,120,40,"- ",3,2,20,"- ","- "
"Jaguar Kick Light Kick ","HL ",130,180,"20/40 ","- ",20,6,21,-3,-2
"Jaguar Kick Medium Kick ","HL ",130,180,"20/40 ","- ",21,7,20,-1,0
"Jaguar Kick Hard Kick ","HL ",130,180,"20/40 ","- ",22,8,20,-1,-2
"Jaguar Kick EX ","H ","80*70 ","90*110 ","-250/0 ","- ",20,"2*3 ",21,-2,"- "
"Rising Jaguar Light Kick ","HL ","80*50 ","100*70 ","30/20*20 ","Su ",4,"2(6)4 ","17+13 ",-13,"- "
"Rising Jaguar Medium Kick ","HL ","90*50 ","110*70 ","30/20*20 ","Su ",5,"2(6)5 ","22+13 ",-27,"- "
"Rising Jaguar Hard Kick ","HL ","50*100 ","70*120 ","30/20*20 ","Su ",5,"2(6)9 ","22+13 ",-33,"- "
"Rising Jaguar EX ","HL ","80*40*40 ","100*60*60 ","-250/0 ","Su ",5,"4(8)2*6 ","24+10 ",-33,"- "
"Jaguar Tooth Light Kick ","HL ",120,150,"10/01/40","- ",12,4," ???20 ",-4,1
"Jaguar Tooth Medium Kick ","HL ",120,150,"10/01/40","- ",13,5," ???17 ",-1,3
"Jaguar Tooth Hard Kick ","HL ",120,150,"10/01/40","- ",14,7," ???18 ",-2,0
"Jaguar Tooth EX ","HL ",120,200,"-250/0 ","- ",7,7," ???20 ",-2,"- "
"Jaguar Varied Assault ","HL ","50x5*70 ",0,"-1000/0 ","- ",9,"3(9) 2(11) 2(11) 2(18) 3(39) 3 ",40,-64,"- "
"Super — Thousand Jaguar ","HL ","30*12xN ",0,"0/0 ","- ",19,"3(14) 1(2) 2(2) 1(3) 1(2) 2 ",31,-12,"- "
"Super — Assassin Jaguar ","HL ","30x3*60 ",0,"0/0 ","- ",18,"3(17) 4(6) 3(8) 5 ","41+27 ",-83,"- "
"Ultra 1 ","HL ","60x3*330 ",0,"0/0 ","- ",12,"7(18) 4(18) 4 ",34,-17,"- "
"Ultra 2 ","HL ","60x2*45*265 ",0,"0/0 ","- ",10,"4(6) 5(23) 2 ","25+38 ",-82,"- "
