"move","block","damage","stun","meter","cancel","startup","active","recover","frame_adv_block","frame_adv_hit"
"Close Light Punch ","HL ",20,50,20,"C*Sp*Su ",4,2,7,2,5
"Close Medium Punch ","HL ",80,100,40,"Su ",6,4,12,-2,1
"Close Hard Punch ","HL ",120,200,60,"Su ",5,5,16,-3,2
"Close Light Kick ","HL ",40,50,20,"C*Sp*Su ",3,2,7,2,5
"Close Medium Kick ","HL ",90,100,40,"Sp*Su ",5,4,13,-3,0
"Close Hard Kick ","HL ",100,200,60,"Su ",7,2,13,3,7
"Far Light Punch ","HL ",20,50,20,"C*Sp*Su ",4,2,4,5,8
"Far Medium Punch ","HL ",90,100,40,"Su ",7,2,16,-4,1
"Far Hard Punch ","HL ",100,200,60,"- ",9,4,21,-7,-3
"Far Light Kick ","HL ",40,50,20,"ch/Su ",4,2,10,-1,2
"Far Medium Kick ","HL ",90,100,40,"Su ",9,3,12,-1,2
"Far Hard Kick ","HL ",110,200,60,"- ",8,2,20,-4,0
"Crouch Light Punch ","HL ",20,50,20,"C*Sp*Su ",3,2,5,4,7
"Crouch Medium Punch ","HL ",70,100,40,"Sp*Su ",7,4,12,-2,1
"Crouch Hard Punch ","HL ",110,200,60,"Su ",7,5,21,-8,-3
"Crouch Light Kick ","L ",30,50,20,"Sp*Su ",4,2,9,0,3
"Crouch Medium Kick ","L ",70,100,40,"Su ",8,2,8,4,7
"Crouch Hard Kick ","L ",90,120,60,"Su ",8,2,22,-6,"D "
"Focus Attack Level 1 ","HL ",90,100,20,"- ",21,2,35,-21,-21
"Focus Attack Level 2 ","HL ",120,150,40,"- ",29,2,35,-15,"D "
"Focus Attack Level 3 ","- ",170,200,60,"- ",65,2,35,"D ","D "
"Focus Attack Level 1 (Dash Cancel) ","HL ",90,100,20,"- ",21,2,35,-2,-2
"Focus Attack Level 2 (Dash Cancel) ","HL ",120,150,40,"- ",29,2,35,4,"D "
"Forward Throw ",0.9,130,160,40,"- ",3,2,20,"- ","D "
"Back Throw ",0.9,130,100,40,"- ",3,2,20,"- ","D "
"Dashing Punch Light Punch ","HL ",100,100,"20/30 ","Su ",4,7,17,-3,-2
"Dashing Punch Medium Punch ","HL ",110,150,"20/30 ","Su ",7,6,19,-6,-1
"Dashing Punch Hard Punch ","HL ",120,200,"20/30 ","Su ",7,6,20,-8,-1
"Dashing Punch EX ","HL ",120,200,"-250/0 ","Su ",7,6,17,-2,2
"Dashing Uppercut Light Kick ","HL ",100,100,"20/30 ","Su ",5,4,20,-3,-1
"Dashing Uppercut Medium Kick ","HL ",110,150,"20/30 ","Su ",7,4,20,-5,1
"Dashing Uppercut Hard Kick ","HL ",120,200,"20/30 ","Su ",7,4,21,-7,-1
"Dashing Uppercut EX ","HL ",120,200,"-250/0 ","Su ",7,4,18,-1,4
"Dashing Low Punch Light Punch ","L ",90,100,"20/30 ","Su ",13,8,21,-8,"D "
"Dashing Low Punch Medium Punch ","L ",100,150,"20/30 ","Su ",14,8,21,-9,"D "
"Dashing Low Punch Hard Punch ","L ",110,200,"20/30 ","Su ",14,8,21,-11,"D "
"Dashing Low Punch EX ","L ",110,200,"-250/0 ","Su ",14,8,17,-3,"D "
"Dashing Overhead Punch Light Punch ","H ",80,100,"20/30 ","Su ",22,5,21,-5,7
