"move","damage","stun","meter","chain","special","super","startup","active","recover","frame_adv_block","frame_adv_hit"
"Close Light Punch ",20,50,20,"X ","O ","O ",3,2,7,2,5
"Close Medium Punch ","40*40 ","50*50 ","40*20 ","X ","O ","O ",4,"3(6)3 ",14,-3,0
"Close Hard Punch ",90,200,60,"X ","O ","O ",4,4,21,-7,-3
"Close Light Kick ",40,50,20,"X ","O ","O ",3,2,8,1,4
"Close Medium Kick ","30*20*20 ","50*25*25 ","40*20*20 ","X ","O ","O ",4,"3(7)2*2 ",16,-4,-1
"Close Hard Kick ",100,200,60,"X ","O ","O ",4,3,18,-3,2
"Far Light Punch ",20,50,20,"O ","O ","O ",3,2,6,3,6
"Far Medium Punch ",70,100,40,"X ","O ","O ",7,2,10,2,5
"Far Hard Punch ",100,200,60,"X ","X ","X ",6,3,16,-1,3
"Far Light Kick ",30,50,20,"X ","X ","X ",4,2,10,-1,2
"Far Medium Kick ",70,100,40,"X ","X ","X ",7,3,13,-2,0
"Far Hard Kick ",100,200,60,"X ","X ","X ",12,2,20,-4,0
"Crouch Light Punch ",30,50,20,"O ","O ","O ",3,3,5,3,6
"Crouch Medium Punch ",60,100,40,"X ","X ","X ",10,5,12,-3,0
"Crouch Hard Punch ","50*50 ","100*100 ","60*60 ","X ","O ","O ",7,"2(6)2 ",18,-2,2
"Crouch Light Kick ",30,50,20,"O ","X ","X ",3,4,8,-1,2
"Crouch Medium Kick ",60,100,40,"X ","O ","O ",5,3,11,0,3
"Crouch Hard Kick ",90,200,60,"X ","X ","X ",7,4,19,-5,"D "
"Back + Medium Kick ",50,50,40,"X ","X ","X ",9,4,16,-6,-3
"Medium Kick (During Back + Medium Kick) ",50,50,20,"X ","X ","O ",12,3,39,-28,"D "
"Down Up + Kick (During Back + Medium Kick or Medium Kick) ","20xN ","50xN ","20xN ","X ","X ","X ",4,"4(2) 1(4) 2(4) 1(5) 1 ","9+15 ",0,"D "
"Toward + Medium Kick ",80,100,40,"X ","X ","X ",15,3,13,-2,1
"Down-Toward + Light Kick ",40,50,20,"X ","X ","X ",10,4,"8+7 ",-5,-2
"Down-Toward + Hard Kick ",100,200,60,"X ","X ","X ",37,7,5,2,6
"Triangle Jump (Wall Jump) ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"Target Combo 1 ",40,50,20,0,0,0,4,3,0,0,0
"Focus Attack Level 1 ",60,100,20,0,0,0,21,2,35,-21,-21
"Focus Attack Level 2 ",80,150,40,0,0,0,31,2,35,-16,"D "
"Focus Attack Level 3 ",120,200,60,0,0,0,65,2,35,"D ","D "
"Focus Attack Level 1 (Dash Cancel) ",60,100,20,0,0,0,21,2,35,1,1
"Focus Attack Level 2 (Dash Cancel) ",80,150,40,0,0,0,31,2,35,7,"D "
