"move","block","damage","stun","meter","cancel","startup","active","recover","frame_adv_block","frame_adv_hit"
"Close Light Punch ","HL ",30,50,20,"C*Sp*Su ",4,3,5,3,6
"Close Medium Punch ","HL ",70,100,40,"Sp*Su ",6,3,8,4,7
"Close Hard Punch ","HL ",100,200,60,"Sp*Su ",8,4,13,1,6
"Close Light Kick ","HL ",30,50,20,"- ",4,4,6,1,4
"Close Medium Kick ","HL ",90,100,40,"Sp*Su ",6,4,14,-3,-1
"Close Hard Kick ","HL ",110,200,60,"Su ",8,6,17,-5,-1
"Far Light Punch ","HL ",30,50,20,"C*Sp*Su ",3,2,6,3,6
"Far Medium Punch ","HL ",90,100,40,"- ",7,3,11,0,3
"Far Hard Punch ","HL ",120,200,60,"- ",8,4,17,-3,1
"Far Light Kick ","HL ",40,50,20,"- ",5,4,8,-1,2
"Far Medium Kick ","HL ",70,100,40,"- ",8,5,9,0,3
"Far Hard Kick ","HL ",110,200,60,"- ",10,5,15,-2,2
"Crouch Light Punch ","HL ",20,50,20,"C*Sp*Su ",4,4,5,2,6
"Crouch Medium Punch ","HL ",60,100,40,"Sp*Su ",5,3,10,1,4
"Crouch Hard Punch ","HL ",100,200,60,"Sp*Su ",7,3,16,-1,4
"Crouch Light Kick ","L ",20,50,20,"Sp*Su ",4,4,8,-1,2
"Crouch Medium Kick ","L ",70,100,40,"- ",7,7,13,-6,-3
"Crouch Hard Kick ","L ",100,100,60,"- ",7,3,24,-9,"- "
"Fake Knife Throw ","HL ","- ","- ","- ","- ","- ","- ",32,"- ","- "
"Knife ?? ","HL ","- ","- ","- ","Su ","- ","- ",27,"- ","- "
"Knife ?? ","HL ",70,100,"10/20/10","- ",26,"- ",45,7,"- "
"Knife Standing Light Punch ","HL ",40,50,20,"C ",4,3,6,2,5
"Knife Standing Medium Punch ","HL ",80,100,40,"Su ",6,4,10,0,3
"Knife Standing Hard Punch ","HL ",120,200,60,"Su ",8,3,17,-2,2
"Knife Crouching Light Punch ","HL ",40,50,20,"C ",3,4,7,0,3
"Knife Crouching Medium Punch ","HL ",80,100,40,"Su ",7,2,14,-2,1
"Knife Crouching Hard Punch ","HL ",120,200,60,"Su ",9,4,12,-2,7
"Knife Jumping Light Punch ","H ",50,50,20,"- ",4,4,"- ","- ","- "
"Knife Jumping Medium Punch ","H ",80,100,40,"- ",7,3,"- ","- ","- "
"Knife Jumping Hard Punch ","H ",120,200,60,"- ",8,6,"- ","- ","- "
"Bad Spray ","HL ",60,100,"10/01/40","- ",25,12,29,-20,"- "
"Stomach Blow (Forward + Medium Punch) ","HL ",60,100,40,"- ",8,3,12,1,6
"Crack Kick (Forward + Hard Kick) ","HL ",110,200,60,"- ",14,3,12,1,"- "
"Jaw Crusher (Back + Medium Punch) ","HL ",80,100,40,"- ",6,4,13,-1,5
"Hammer Hook (Forward + Hard Punch) ","L ","40*60 ","50*50 ","60*20 ","- ",18,"1*3 ",21,6,-1
"Focus Attack Level 1 ","HL ",60,100,20,"- ",21,2,35,21,-21
"Focus Attack Level 2 ","HL ",80,150,40,"- ",29,2,35,15,"- "
"Focus Attack Level 3 ","- ",140,200,60,"- ",64,2,35,"- ","- "
"Focus Attack Level 1 (Dash Cancel) ","HL ",60,100,20,"- ",21,2,35,-2,-2
