"move","block","damage","stun","meter","cancel","startup","active","recover","frame_adv_block","frame_adv_hit"
"Close Light Punch ","HL ",30,50,20,"C*Sp*Su ",3,2,7,2,5
"Close Medium Punch ","HL ",70,100,40,"Sp*Su ",4,4,11,-1,2
"Close Hard Punch ","HL ","50*70 ","70*130 ","30*30 ","Sp*Su ",5,"2(4)4 ",22,-8,-4
"Close Light Kick ","HL ",30,50,20,"Sp*Su ",5,2,6,3,6
"Close Medium Kick ","HL ",70,100,40,"Sp*Su ",5,2,9,3,6
"Close Hard Kick ","HL ","70*60 ","120*80 ","60*20 ","- ",6,"3(2)4 ",18,-9,0
"Far Light Punch ","HL ",30,50,20,"C*Sp*Su ",3,3,7,1,4
"Far Medium Punch ","HL ",90,110,40,"- ",7,3,13,-2,1
"Far Hard Punch ","HL ",100,200,60,"- ",8,4,23,-9,-5
"Far Light Kick ","HL ",40,50,20,"Sp*Su ",5,2,7,2,5
"Far Medium Kick ","HL ","30*80 ","50*100 ","40*40 ","- ",6,"1*4 ",16,-6,-3
"Far Hard Kick ","HL ",110,200,60,"- ",12,3,23,-8,-4
"Crouch Light Punch ","HL ",20,50,20,"C*Sp*Su ",4,2,6,3,6
"Crouch Medium Punch ","HL ",60,80,40,"Sp*Su ",6,2,12,0,3
"Crouch Hard Punch ","HL ",90,200,60,"Sp*Su ",7,6,19,-7,-3
"Crouch Light Kick ","HL ",30,50,20,"C*Sp*Su ",5,3,11,-3,0
"Crouch Medium Kick ","HL ",70,90,40,"- ",5,4,15,-5,"- "
"Crouch Hard Kick ","HL ",100,140,60,"- ",14,6,20,-8,"- "
"Focus Attack Level 1 ","HL ",60,100,20,"- ",22,2,36,-22,-22
"Focus Attack Level 2 ","HL ",80,150,40,"- ",29,2,36,-16,"- "
"Focus Attack Level 3 ","- ",140,200,60,"- ",64,3,36,"- ","- "
"Focus Attack Level 1 (Dash Cancel) ","HL ",60,100,20,"- ",22,2,36,-3,-3
"Focus Attack Level 2 (Dash Cancel) ","HL ",80,150,40,"- ",29,2,36,3,"- "
"Forward Throw ",0.8,120,100,40,"- ",3,2,20,"- ","- "
"Back Throw ",0.8,120,80,40,"- ",3,2,20,"- ","- "
"Air Slasher ","HL ",50,50,"20/2 ","Su ",12,"- "," ??39 ",-1,3
"Air Slasher EX ","HL ","50*50 ","50*50 ","-250/0 ","Su ",13,"- "," ??52 ",1,5
"Double Rolling Sobat Light Kick ","HL ",80,90,"20/40 ","Su ",14,2,21,-6,"- "
"Double Rolling Sobat Medium Kick ","HL ","60*40 ","70*50 ","20/30*20 ","Su ",14,"2(14)2 ",23,-7,0
"Double Rolling Sobat Hard Kick ","HL ","80*40 ","90*50 ","20/30*20 ","Su ",14,"2(14)2 ",24,-9,-1
"Double Rolling Sobat EX ","HL ","80*60 ","90*70 ","-250/0 ","Su ",15,"2(7)4 ",25,-8,"- "
"Jacknife Maximum Light Kick ","HL ",100,50,"30/20 ","- ",6,2,"18+11 ",-10,"- "
"Jacknife Maximum Medium Kick ","HL ","70*30 ","50*50 ","20/20*15 ","- ",6,"2(7)2 ","19+11 ","- ","- "
"Jacknife Maximum Hard Kick ","HL ","40*40*30 ","50*50*50 ","20/15*20*10 ","- ",6,"2(7) 2(10) 2 ","16+15 ","- ","- "
"Jacknife Maximum EX ","HL ","50*20 x 4*50 ","50*20 x 4*50 ","-250/0 ","- ",4," ??? ","15+11 ","- ","- "
"Machinegun Upper ","HL ","15*15*50 ","40*40*60 ","20/10x3 ","Su ",12,"2(2) 2(4) 2 ",30,-11,"- "
"Machinegun Upper (??1) ","HL ","15*15*50 ","30*30*60 ","0/10x3 ","Su ",3,"2(2) 2(4) 2 ",30,-11,"- "
"Machinegun Upper Light Punch (??2) ","HL ","25*25*50 ","40*40*60 ","0/10x3 ","Su ",4,"2(2) [2(2)2] (2)2 ",24,-11,"- "
"Machinegun Upper Medium Punch (??2) ","HL ","25*25*50 ","50*50*60 ","0/10x3 ","Su ",5,"2(2) [2(2)2] (2)2 ",26,-11,"- "
"Machinegun Upper Hard Punch (??2) ","HL ","30*30*50 ","60*60*60 ","0/10x3 ","Su ",4,"2(2) [2(2)2] (2)2 ",30,-11,"- "
"Machinegun Upper EX (??nashi) ","HL ","16x4*50 ","25x4*60 ","-250/0 ","- ",12,"2(4) 2(2) 2(2) 2(2) 2 ",24,-5,"- "
"Machinegun Upper EX (??ari) ","HL ","16x7*50 ","25x7*60 ","0/0 ","- ",12," ??? ",28,-9,"- "
"Super Light Kick ","HL ","40x6*110 ",0,"-1000/0 ","- ",7," ??? ",31,-12,"- "
"Super Medium Kick ","HL ","40x6*110 ",0,"-1000/0 ","- ",11," ??? ",30,-12,"- "
"Super Hard Kick ","HL ","40x6*110 ",0,"-1000/0 ","- ",13," ??? ",31,-12,"- "
"Ultra 1 ","HL ","60x5*173 ",0,"0/0 ","- ",11," ?? ",58,-29,"- "
"Ultra 2 ","HL ","45x8 [45*456] ",0,"0/0 ","- ",7,"{2(2)} x 7*2 ",48,-29,"- "
