move,block,damage,stun,meter,cancel,startup,active,recovery,frame_adv_block,frame_adv_hit,Notes
"Close LP",HL,30,50,20,ch/sp/su,3,2,7,+2,+5,,
"Close MP",HL,70,100,40,sp/su,4,5,10,-1,+2,,
"Close HP",HL,50*70,70*130,30*30,sp/su,5,2(4)4,22,-8,-4,,
"Close LK",HL,30,50,20,sp/su,5,2,6,+3,+6,,
"Close MK",HL,70,100,40,sp/su,5,2,9,+3,+6,,
"Close HK",HL,70*60,120*80,60*20,-,6,3(2)4,18,-4,0,,
"Far LP",HL,30,50,20,ch/sp/su,3,3,7,+1,+4,,
"Far MP",HL,90,110,40,-,7,3,13,-2,+1,,
"Far HP",HL,100,200,60,-,8,4,23,-9,-5,,
"Far LK",HL,40,50,20,sp/su,5,2,7,+2,+5,,
"Far MK",HL,50*60,50*100,40*40,sp/su,5,1*4,16,-3,0,,
"Far HK",HL,110,200,60,-,11,4,23,-9,-5,,
"crouch LP",HL,20,50,20,ch/sp/su,4,2,6,+3,+6,,
"crouch MP",HL,80,80,40,sp/su,6,2,12,0,+3,,
"crouch HP",HL,90,200,60,sp/su,7,6,19,-7,-3,,
"crouch LK",L,30,50,20,ch/sp/su,5,3,11,-3,0,,
"crouch MK",L,70,90,40,-,5,4,15,-5,-,,
"crouch HK",L,100,140,60,-,14,9,15,-6,-,,
"Jump up LP",H,40,50,20,-,5,19,-,-,-,,
"Jump up MP",H,70,80,40,-,7,8,-,-,-,,
"Jump up HP",H,120,150,60,-,7,3,-,-,-,,
"Jump up LK",H,50,60,20,-,5,11,-,-,-,,
"Jump up MK",H,90,100,40,-,9,8,-,-,-,,
"Jump up HK",H,120,150,60,-,9,4,-,-,-,,
"Jump forward LP",H,40,50,20,-,5,19,-,-,-,,
"Jump forward MP",H,70,80,40,-,7,6,-,-,-,,
"Jump forward HP",H,120,140,60,-,5,6,-,-,-,,
"Jump forward LK",H,50,60,20,-,3,12,-,-,-,,
"Jump forward MK",H,90,100,40,-,6,4,-,-,-,,
"Jump forward HK",H,130,150,60,-,7,4,-,-,-,,
"Knee Shot (Down+LK air)",H,50,60,20,-,4,18,-,-,-,,
"Focus Attack LVL1",HL,60,100,20,-,22,2,36,-22,-22,,
"Focus Attack LVL2",HL,80,150,40,-,17+12,2,36,-16,-,,
"Focus Attack LVL3",-,140,200,60,-,64,3,36,-,-,,
"Forward Throw",0.85,120,100,40,-,3,2,20,-,-,,
"Back Throw",0.87,120,80,40,-,3,2,20,-,-,,
"Air Slasher",HL,50,50,20/20,su,12,-,??37,0,+3,,
"Air Slasher EX",HL,50*50,50*50,-250/0,su,13,-,??52,+1,+5,,
"Double Rolling Sobat LK",HL,80,90,20/40,su,12,2,21,-5,-,,
"Double Rolling Sobat MK",HL,60*40,70*50,20/30*20,su,14,2(14)2,23,-7,0,,
"Double Rolling Sobat HK",HL,80*40,90*50,20/30*20,su,14,2(14)2,24,-9,-1,,
"Double Rolling Sobat EX",HL,80*60,90*70,-250/0,su,15,2(7)4,25,-8,-,,
"Jacknife Maximum LK",HL,120,50,30/20,-,6,2,18+11,-10,-,,
"Jacknife Maximum MK",HL,70*30,50*50,20/20*15,-,6,2(7)2,19+11,-20,-,,
"Jacknife Maximum HK",HL,40*40*30,50*50*50,20/15*20*10,-,6,2(7)2(10)2,16+15,-33,-,,
"Jackknife Maximum EX",HL,50*20x4*50,50*20x4*50,-250/0,-,4,???,15+11,-22,-,,
"Machinegun Upper",HL,20*20*50,40*40*60,20/10x3,su,12,2(2)2(4)2,30,-11,-,,
"Machinegun Upper (??1)",HL,15*15*50,30*30*60,0/10x3,su,3,2(2)2(4)2,30,-11,-,,
"Machinegun Upper LP(??2)",HL,25*25*60,40*40*60,0/10x3,su,4,2(2)[2(2)2](2)2,24,-5,-,,
"Machinegun Upper MP(??2)",HL,25*25*60,50*50*60,0/10x3,su,4,2(2)[2(2)2](2)2,26,-7,-,,
"Machinegun Upper HP(??2)",HL,30*30*60,60*60*60,0/10x3,su,4,2(2)[2(2)2](2)2,30,-11,-,,
"Machinegun Upper EX (??nashi)",HL,16x4*50,25x4*60,-250/0,-,12,2(4)2(2)2(2)2(2)2,24,-5,-,,
"Machinegun Upper EX (??ari)",HL,16x7*50,25x7*60,0/0,-,12,???,28,-9,-,,
"Super Combo LK",HL,40x6*110,0,-1000/0,-,1+6,???,31,-12,-,,
"Super Combo MK",HL,40x6*110,0,-1000/0,-,1+10,???,30,-12,-,,
"Super Combo HK",HL,40x6*110,0,-1000/0,-,1+12,???,31,-12,-,,
"Ultra Combo 1",HL,60x5*173,0,0/0,-,1+11,??,58,-29,-,,
"Ultra Combo 2",HL,45x8[45*456],0,0/0,-,1+7,"{2(2)} x 7*2",48,-29,-,,
