move,block,damage,stun,meter,cancel,startup,active,recovery,frame_adv_block,frame_adv_hit,"Block Stun","Hit Stun",Notes
s.lp," HL",30,50,20," sp/su",4,2,7,2,5,-0,-0,
s.mp," HL",70,100,40," sp/su",7,2,11,1,4,-0,-0,
s.hp," HL",90,150,60," sp/su",8,2,17,-1,3,-0,-0,
s.lk," HL",30,50,20," sp/su",5,1,7,3,6,-0,-0,
s.mk," HL",70,100,40,-0,14,2," 5+??8",-1,2,-0,-0," 8~15f low body invincibility"
s.hk," HL",80,150,60," sp/su",12,2,16,0,-0,-0,-0,
"far s.lp"," HL",30,50,20," sp/su",5,2,6,3,6,-0,-0,
"far s.mp"," HL",80,100,40," sp/su",7,3,10,1,6,-0,-0,
"far s.hp"," HL",120,200,60,-0,17,2,11,5,9,-0,-0,
"far s.lk"," HL",30,50,20," sp/su",5,1,8,2,5,-0,-0,
"far s.mk"," HL",70,100,40," sp/su",11,3,15,-4,1,-0,-0,
"far s.hk"," HL*H"," 110*100",200,60,-0,19," 2(6)3"," ??12",-5,-1,-0,-0,
c.lp," HL",30,50,20," sp/su",5,2,7,2,5,-0,-0,
c.mp," HL",70,100,40," sp/su",9,2,12,0,3,-0,-0,
c.hp," HL",100,200,60,-0,8,4,15,-1,4,-0,-0," Forces stand"
c.lk," L",20,50,20," sp/su",5,2,6,3,6,-0,-0,
c.mk," L",70,100,40," sp/su",6,2,13,-1,2,-0,-0,
c.hk," L",80,150,60,-0,17,10,9,-1,-0,-0,-0," cannot fast recover"
j.lp," H",50,50,20,-0,5,8,-0,-0,-0,-0,-0,
j.mp," H",80,100,40,-0,8,4,-0,-0,-0,-0,-0,
j.hp," H",100,200,60,-0,9,6,-0,-0,-0,-0,-0,
j.lk," H",40,50,20,-0,5,9,-0,-0,-0,-0,-0,
j.mk," H",80,100,40,-0,6,9,-0,-0,-0,-0,-0,
j.hk," H",100,200,60,-0,7,10,-0,-0,-0,-0,-0,
jf.lp," H",50,50,20,-0,5,8,-0,-0,-0,-0,-0,
jf.mp," H",80,100,40,-0,8,4,-0,-0,-0,-0,-0,
jf.hp," H",100,200,60,-0,9,6,-0,-0,-0,-0,-0,
jf.lk," H",40,50,20,-0,5,9,-0,-0,-0,-0,-0,
jf.mk," H",80,100,40,-0,6,9,-0,-0,-0,-0,-0,
jf.hk," H",100,200,60,-0,7,10,-0,-0,-0,-0,-0,
"Triangle Jump",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,
"Tostada Press (wall jump)"," H",100,100," 20/30",-0," 2+12"," until ground",35,-17,-0,-0,,
"Fajita Buster (wall jump)",1,150,150," 20/60",-0," 2+12"," until ground",36,-0,-0,-0,-0,
0," H",50,100,40,-0,16,2,11,1,5,-0,-0,
"Target Combo 1"," HL",70,100,40,-0,14,2," 5+10",-3,0,-0,-0,
"Focus Attack LVL 1"," HL",60,100,20,-0,21,3,34,-21,-21,-0,-0,
"Focus attack LVL 2"," HL",80,150,40,-0," 17+12",3,34,-15,-0,-0,-0,
"Focus attack LVL 3",-0,140,200,60,-0,65,3,34,-0,-0,-0,-0,
"Forward Throw",0.9,120,120,40,-0,3,2,20,-0,-0,-0,-0,
"Back throw",0.9,120,120,40,-0,3,2,20,-0,-0,-0,-0,
"Air Throw",1.15,140,150,40,-0,3,2,-0,-0,-0,-0,-0,
"Habanero Dash F",-0,-0,-0,-0,-0,-0,-0,71,-0,-0,-0,-0,
"Habanero Dash F ",-0,-0,-0," -250/0",-0,-0,-0,49,-0,-0,-0,-0,
"Habenero Dash B",-0,-0,-0,-0,-0,-0,-0," ???",-0,-0,-0,-0,
"Habanero Dash B ",-0,-0,-0," -250/0",-0,-0,-0," ???",-0,-0,-0,-0,
"Sudden Stop",-0,-0,-0," 0/0",-0,-0,-0,3,-0,-0,-0,-0,
"Tostada Press F dash"," H",100,100," 20/30",-0," 6+20",7,34,-16,-0,-0,-0," Pursuit property, Cannot fast recover"
"Tostada Press B dash"," H",100,100," 20/30",-0," 6+20",7,30,-12,-0,-0,-0," Pursuit property, Cannot fast recover"
"Fajita Buster F dash",1.1,150,150," 20/60",-0," 6+23",6," 2+34",-0,-0,-0,-0,
"Back Step",-0,-0,-0,-0,-0,-0,-0,17,-0,-0,-0,-0,
"Gordita Sobat"," HL",80,100," 20/30"," su"," 6+14",2,18,1,5,-0,-0,
"Calamari Slide"," L",100,200," 20/30",-0," 6+12",6,24,-9,-0,-0,-0," cannot fast recover"
"Propeller Tortilla",1.3,132,150," 20/60",-0," 6+22",4," 4+16",-0,-0,-0,-0,
"Picadillo Jump",-0,-0,-0,-0,-0,-0,-0,40,-0,-0,-0,-0,
"Quesadilla Bomb LVL 1"," HL",50,100," 30/40"," su",17,11,18,-17,-13,-0,-0," Armor break"
"Quesadilla Bomb LVL 2"," HL",100,150," 30/40"," su",17,11,18,-17,-0,-0,-0," Armor break"
"Quesadilla Bomb LVL 3"," HL",150,200," 30/40"," su",17,11,18,-17,-0,-0,-0,
"Quesadilla Bomb "," HL",200,300," -250/0"," su",17,11,18,-17,-0,-0,-0," Armor break"
"Guacamole Leg Throw ",-0," 0*120",100," 20/0*60",-0,7,6," 17+8",-0,-0,-0,-0," 1~4f invincible, Pursuit property"
"Guacamole Leg Throw ",-0," 0*130",100," 20/0*60",-0,9,6," 20+8",-0,-0,-0,-0," 1~5f invincible, Pursuit property"
"Guacamole Leg Throw ",-0," 0*140",100," 20/0*60",-0,11,9," 16+8",-0,-0,-0,-0," 1~7f invincible, Pursuit property"
"Guacamole Leg Throw ",-0," 0*180",200," -250/0",-0,11,9," 12+8",-0,-0,-0,-0," 1~17f invincible, Pursuit property"
"Super Combo "," HL"," 35x4*190",0," -1000/0",-0," 1+3"," 4(8)5(14)5(13)4",32,-15,-0,-0,-0," 1~7f invincible, Pursuit property"
"Super Combo "," HL"," 35x4*190",0," -1000/0",-0," 1+4"," 5(8)5(14)5(13)4",32,-15,-0,-0,-0," 1~6f invincible, Pursuit property"
"Super Combo "," HL"," 35x4*190",0," -1000/0",-0," 1+5"," 6(8)5(14)5(13)4",32,-15,-0,-0,-0," 1~5f invincible, Pursuit property"
"Ultra Combo 1",1.1,470,0," 0/0",-0," 1+4",12,54,-0,-0,-0,-0," 1~10f invincible"
"Ultra Combo 2",1.6,500,0," 0/0",-0," 1+2",12,65,-0,-0,-0,,
