move,block,damage,stun,meter,cancel,startup,active,recovery,frame_adv_block,frame_adv_hit,"Block Stun","Hit Stun",Notes
s.lp," HL",20,50,20," ch/sp/su",4,2,6,3,6,-0,-0,
s.mp," HL",60,100,40," sp/su",5,2,18,1,5,-0,-0,
s.hp," HL",100,200,60," sp/su",5,2,19,-3,2,-0,-0,
s.lk," HL",30,50,20," sp/su",5,3,11,-3,0,-0,-0,
s.mk," HL",80,100,40," sp/su",7,2,11,1,4,-0,-0,
s.hk," HL",100,200,60," su",7,3,13,2,8,-0,-0,
"far s.lp"," HL",20,50,20," ch/sp/su",4,2,6,3,6,-0,-0,
"far s.mp"," HL",60,100,40," sp/su",5,2,16,-4,-1,-0,-0,
"far s.hp"," HL",100,200,60,-0,7,2,13,3,7,-0,-0,
"far s.lk"," HL",40,50,20,-0,6,2,9,0,3,-0,-0,
"far s.mk"," HL",70,100,40,-0,9,2,14,-2,1,-0,-0,
"far s.hk"," HL",110,200,60,-0,8,3,16,-1,3,-0,-0,
c.lp," HL",20,50,20," ch/sp/su",4,2,6,3,6,-0,-0,
c.mp," HL",70,100,40," sp/su",6,2,10,2,5,-0,-0,
c.hp," HL",100,200,60,-0,9,2,13,3,8,-0,-0,
c.lk," L",30,50,20," sp/su",4,2,7,2,5,-0,-0,
c.mk," L"," 30*40"," 30*40"," 40*20",-0,6," 2(2)2",12,0,-0,-0,-0,
c.hk," L"," 90[50]"," 100[80]",60,-0,7,10,16," -10[-5]"," -[-3]",-0,-0,
j.lp," H",50,50,20,-0,5,7,-0,-0,-0,-0,-0,
j.mp," H",80,100,40,-0,5,4,-0,-0,-0,-0,-0,
j.hp," H",100,200,60,-0,6,4,-0,-0,-0,-0,-0,
j.lk," H",40,50,20,-0,5,8,-0,-0,-0,-0,-0,
j.mk," H",80,100,40,-0,6,3,-0,-0,-0,-0,-0,
j.hk," H"," 50*50"," 50*50"," 60*20",-0,5," 2(6)4",-0,-0,-0,-0,-0,
jf.lp," H",50,50,20,-0,5,7,-0,-0,-0,-0,-0,
jf.mp," H",80,100,40,-0,5,3,-0,-0,-0,-0,-0,
jf.hp," H",100,200,60,-0,6,4,-0,-0,-0,-0,-0,
jf.lk," H",40,50,20,-0,5,8,-0,-0,-0,-0,-0,
jf.mk," H",70,100,40,-0,6,6,-0,-0,-0,-0,-0,
jf.hk," H",100,200,60,-0,8,3,-0,-0,-0,-0,-0,
0," HL"," 40*60"," 100*100"," 60*20",-0,11," 2(3)2"," 12+13",-9,-0,-0,-0,
0," H",60,100,20,-0,15,2,18,-4,-2,-0,-0,
" +  (air)"," HL",80,100,40,-0,8," until ground",-0,-0,-0,-0,-0,
"Bushin Chain "," HL",60,50,10,-0,7,2,24,-8,-3,-0,-0,
"Bushin Chain "," HL",80,50,20,-0,5,2,18,-9,3,-0,-0,
"Bushin Chain "," HL",100,130,20," su",11,3,26,-11,-0,-0,-0,
"Bushin Chain  + ",0.8,100,0,30,-0,3,2,20,-0,-0,-0,-0,
"Target Combo (Second  Hit)"," HL",40,60,20," sp/su",7,2,23,-5,-2,-0,-0,
"Wall Jump",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,
"Focus Attack LVL 1"," HL",60,100,20,-0,21,2,35,-21,-21,-0,-0,
"Focus Attack LVL 2"," HL",80,150,40,-0," 17+12",2,35,-15,-0,-0,-0,
"Focus Attack LVL 3",-0,140,200,60,-0,65,2,35,-0,-0,-0,-0,
"Forward Throw",0.8,130,160,40,-0,3,2,20,-0,-0,-0,-0,
"Back Throw",0.8,130,120,40,-0,3,2,20,-0,-0,-0,-0,
"Hozanto "," HL",80,140," 10/20"," su",19,3,21,-2,-0,-0,-0,
"Hozanto "," HL",130,160," 10/30"," su",23,3,22,-4,-0,-0,-0,
"Hozanto "," HL",160,200," 20/40"," su",30,3,22,-6,-0,-0,-0,
"Hozanto "," HL",120,200," -250/0"," su",10,3,24,-6,-0,-0,-0,
"Bushin Senpukyaku "," HL"," 40x3"," 100*50x2"," 20/12x3",-0,10," 2(8)1(7)1"," 11+19",-18,-0,-0,-0,
