move,block,damage,stun,meter,cancel,startup,active,recovery,frame_adv_block,frame_adv_hit,Notes
"Close LP",HL,30,50,20,sp/su,3,2,10,0,+3,,
"Close MP",HL,70,100,40,-,5,4,6,+2,+6,,
"Close HP",HL,60*70,125*75,40*20,sp/su,7,2*2,18,-6,-2,,
"Close LK",HL,20,50,20,-,4,4,9,-2,+1,,
"Close MK",HL,70,100,40,sp/su,5,4,14,-4,+1,,
"Close HK",HL,50*60,125*75,40*20,J,6,2*2,23,-5,-,,
"Far LP",HL,25,50,20,ch,3,2,5,+4,+8,,
"Far MP",HL,70,100,40,-,5,4,6,+2,+6,,
"Far HP",HL,100,100,60,-,12,4,16,-2,+2,,
"Far LK",HL,20,50,20,-,4,4,9,-2,+1,,
"Far MK",HL,70,100,40,sp/su,5,4,14,-4,+1,,
"Far HK",HL,110,200,60,-,10,3,17,-2,+2,,
"crouch LP",HL,20,50,20,ch/sp/su,4,3,6,+3,+6,,
"crouch MP",HL,70,100,40,sp/su,8,7,7,0,+3,,
"crouch HP",HL,100,200,60,J,9,3,18,-3,+2,,
"crouch LK",L,20,50,20,sp/su,4,2,8,+1,+4,,
"crouch MK",L,70,100,40,-,6,5,9,0,+3,,
"crouch HK",L,90,100,60,-,6,2,25,-9,-,,
"Jump up LP",H,50,50,20,-,6,7,-,-,-,,
"Jump up MP",H,80,100,40,-,6,7,-,-,-,,
"Jump up HP",H,120,200,60,-,9,5,-,-,-,,
"Jump up LK",H,50,50,20,-,6,12,-,-,-,,
"Jump up MK",H,80,100,40,-,6,7,-,-,-,,
"Jump up HK",H,110,200,60,-,7,3,-,-,-,,
"Jump forward LP",H,40,50,20,-,6,6,-,-,-,,
"Jump forward MP",H,70,50,40,-,7,8,-,-,-,,
"Jump forward HP",H,120,200,60,-,11,5,-,-,-,,
"Jump forward LK",H,40,50,20,-,4,8,-,-,-,,
"Jump forward MK",H,70,100,40,-,8,7,-,-,-,,
"Jump forward HK",H,100,200,60,-,8,5,-,-,-,,
Agemen(Back+MP),HL,30*60,50*50,40*40,sp/su,6,1*2,10,0,+4,,
