move,block,damage,stun,meter,cancel,startup,active,recovery,frame_adv_block,frame_adv_hit,notes
st. LP,HL,30,,20,"c, sp, S",3,3,5,3,7
st. MP,HL,70,,40,"sp, S",6,4,11,0,3
st. HP,HL,100,,60,"sp, S",7,4,17,-3,2,[H] forces stand
st. LK,HL,30,,20,"sp, S",4,5,6,0,3
st. MK,HL,40・30,,40・40,"sp, S ・--",6,1・4,14,-2,1
st. HK,HL,40・70,,60・20,,6,2(8)4,18,-4,2,[H] forces stand
f + LP,HL,30,,20,,4,3,6,2,5
f + MP,H,30・50,,40・20,,15,2(1)2,17,-5,2
f + HP,HL,120,,60,,12,6,18,-9,0,hitbox counts as projectile
f + LK,HL,50,,20,,5,3,10,-2,1
f + MK,HL,70,,40,,13,2,13,-1,2
f + HK,HL,100,,60,,10,2,22,-6,-2,can juggle
cr. LP,HL,25,,20,,3,3,5,3,6
cr. MP,HL,60,,40,,5,4,7,3,6
cr. HP,HL,90,,60,,5,8,18,-8,-3,[H] forces stand
cr. LK,L,20,,20,,4,3,9,-1,2
cr. MK,L,60,,40,,6,2,16,-4,-1
cr. HK,L,100,,60,,9,2,24,-8,-,[H] hard knockdown
nj. LP,H,50,,20,,5,10,-,-,-
nj. MP,H,80,,40,,7,10,-,-,-,[air H] limited juggle
nj. HP,H,110,,60,,8,4,-,-,-
nj. LK,H,40,,20,,5,9,-,-,-
nj. MK,H,80,,40,,5,5,-,-,-
nj. HK,H,100,,60,,6,3(6)2,-,-,-,"There are quite a few errors especially in the notes section, I'll fix them when i have the time."
j. LP,H,50,,20,,5,10,-,-,-
j. MP,H,80,,40,,6,7,-,-,-
j. HP,H,110,,60,,7,4,-,-,-
j. LK,H,40,,20,,4,10,-,-,-
j. MK,H,70,,40,,6,7,-,-,-
j. HK,H,100,,60,,6,4,-,-,-
b + MP,HL,60,,40,,5,6,12,2,6,can juggle
TC1,HL,60,,40,,6,4,11,0,3
TC2,HL,80,,60,,7,4,17,-3,2,wont hit crouching opponent
FA Lvl 1,HL,60,,20,,21,2,36,-22,-
FA Lvl 2,HL,80,,40,,17+12,2,36,-16,-
FA Lvl 3,UB,140,,60,,64,2,35,-,-
"N, f. throw",(0.91),130,,40,,3,2,20,-,-,[H] hard knockdown
b. throw,(0.91),130,,40,,3,2,20,-,-,[H] hard knockdown
LP Fireball,HL,60,,10/20,,13,33,total 47,-8,-4,[air H] limited juggle / can cancel on the 18-19f
MP Fireball,HL,60,,10/20,,13,31,total 47,-8,-4,[air H] limited juggle / can cancel on the 18-19f
HP Fireball,HL,60,,10/20,,13,28,total 47,-8,-4,[air H] limited juggle / can cancel on the 18-19f
Fireball (full charge),HL,40・40,,10/10・10,,45,-,total 77,2,6,[air H] limited juggle / can cancel on the 62-63f
EX Fireball,HL,50・50,,-250/0,,13,-,total 43,4,4,[air H] limited juggle / can cancel on the 16-17f / can juggle
LP Electric,HL,60,,10/20,,28,-,total 54,-5,-,[H] limited juggle / can cancel on the 30-31f / can juggle
MP Electric,HL,60・30,,10/20・20,,29,-,total 61,-3,-,[H] limited juggle / can cancel on the 31-32f / can juggle
HP Electric,HL,50・50・20,,10/20・20・20,,31,-,total 69,-1,-,[H] limited juggle / can cancel on the 33-34f / can juggle
EX Electric,HL,50X3,,-250/0,,25,-,total 50,12,-,[H] limited juggle / can cancel on the 27-28f / can juggle
LP Airdash,HL,70,,5/40,,5,4,post landing 11,-,-,"[air H] limited juggle / projectile hitbox / from the 15f to 7 frame before landing, can cancel into tatsumaki or super"
