move,block,damage,stun,meter,cancel,startup,active,recovery,frame_adv_block,frame_adv_hit,Notes
s.lp,HL,20,0,0,ch/sp/J,3,2,5,7,7,
s.mp,HL,40,0,0,ch/sp/J,4,2,7,5,8,
s.hp,HL,40*30,0,0,ch/sp/J,6,1*3,7,8,13,
s.lk,HL,30,0,0,ch/sp/J,4,2,7,5,5,
s.mk,HL,50,0,0,ch/sp/J,5,4,15,-5,-0,
s.hk,HL,65,0,0,ch/sp/J,8,4,21,-7,-0,
"far s.lp",HL,20,0,0,ch/sp/J,4,2,6,6,6,
"far s.mp",HL,40,0,0,ch/sp/J,5,4,7,3,6,
"far s.hp",HL,60,0,0,ch/sp/J,6,3,7,8,13,
"far s.lk",HL,30,0,0,ch/sp/J,4,2,7,5,5,
"far s.mk",HL,50,0,0,ch/sp/J,6,3,15,-4,1,
"far s.hk",HL,60,0,0,ch/sp/J,8,4,21,-7,-0,
c.lp,HL,20,0,0,ch/sp/J,4,2,8,4,4,
c.mp,HL,40,0,0,ch/sp/J,4,3,6,5,8,
c.hp,HL,30*30,0,0,ch/sp/J,3,2(3)3,7,4,8,
c.lk,L,20,0,0,ch/sp/J,3,2,8,4,4,
c.mk,L,50,0,0,ch/sp/J,4,3,14,-3,0,
c.hk,L,80,0,0,ch/sp/J,8,3,21,-6,-0,
j.lp,H,30,0,0,-0,3,13,-0,-0,-0,
j.mp,H,60,0,0,-0,4,6[8],-0,-0,-0,
j.hp,H,90,0,0,-0,6,4,-0,-0,-0,
j.lk,H,40,0,0,-0,4,10,-0,-0,-0,
j.mk,H,70,0,0,-0,7,8,-0,-0,-0,
j.hk,H,100,0,0,-0,5,4,-0,-0,-0,
"Jump up ",H,90,0,0,-0,7,5,-0,-0,-0,
"Senpuukyaku (+)",H,85,0,0,-0,13,6,9,1,2,
"Dakai (+)",HL,65,0,0,-0,10,3,12,3,-0,
"Raigekishuu (+)",HL,50,0,0,-0,7,"until ground",??4,-1,3,
"Raigekishuu (+)",HL,50,0,0,-0,7,"until ground",??4,-1,3,
"Raigekishuu (+)",HL,50,0,0,-0,7,"until ground",??4,-2,2,
"far  > ",HL,30,0,0,-0,4,2,8,1,4,
"far  >  > ",HL,40,0,0,sp/su,5,5,10,0,3,
"crouch  > crouch ",HL,30*30,0,0,su,3,2(3)3,9,2,6,
"Jump  > +",H,70,0,0,-0,3,5,-0,-0,-0,
"Focus Attack LVL1",HL,60,0,0,-0,21,2,35,-21,-21,
"Focus Attack LVL2",HL,80,0,0,-0,17+12,2,35,-15,-0,
"Focus Attack LVL3",-0,140,0,0,-0,65,2,34,-0,-0,
"Forward Throw",0.9,110,150,0,-0,3,2,20,-0,-0,
"Back Throw",0.9,130,110,0,-0,3,2,20,-0,-0,
"Zesshou Hohou ",HL,25*25*10,0,0,-0,7,4*3*4,5+5,-2,2,
"Zesshou Hohou ",HL,25*25*10,0,0,-0,7,4*3*4,5+5,-2,2,
"Zesshou Hohou ",HL,25*25*10,0,0,-0,7,4*3*4,5+5,-2,2,
"Tetsuzan Kou ",HL,40*30,0,0,-0,9,2(1)4,13,2,1,
"Tetsuzan Kou ",HL,40*30,0,0,-0,11,2(1)5,14,0,-0,
"Tetsuzan Kou ",HL,40*30,0,0,-0,13,2(1)6,16,-3,-0,
Kobokushi(???),-0,-0,0,0,-0,-0,-0,23,-0,-0,
Kobokushi,HL,100,0,0,su,11,1-,5,6,-0,
"Nishou Kyaku ",HL,40*40,0,0,-0,6,2(4)4,14+11,-14,-0,
"Nishou Kyaku ",HL,40*60,0,0,-0,6,2(4)4,19+10,-18,-0,
"Nishou Kyaku ",HL,40*80,0,0,-0,6,2(4)4,24+12,-25,-0,
"Zenpou Tenshin",1.1,0,0,0,-0,5,2,45,-0,7,
"Ultra Combo 1",HL,75*45x2*135,0,0/0,-0,0+9,3(14)3(20)4(34)3,39,-21,-0,
"Ultra Combo 2",HL,60*45x3*75*45*45,0,0/0,-0,0+10,3(6)3(7)3(10)3(9)1,46,-26,-0,
