move,block,damage,stun,meter,cancel,startup,active,recovery,frame_adv_block,frame_adv_hit,Notes
Close LP,HL,30,50,20,ch/sp/su,4,2,6,3,6,
Close MP,HL,70,100,40,sp/su,3,2,13,-1,4,
Close HP,HL,100,200,60,sp/su,4,2,26,-10,-6,
Close LK,HL,40,50,20,-,5,2,7,2,5,
Close MK,HL,70,100,40,su,5,2,14,-2,1,
Close HK,HL,40*70,125*75,60*20,su,6,2(4)4,17,-3,2,
Far LP,HL,30,50,20,ch/sp/su,3,2,5,4,7,
Far MP,HL,80,100,40,su,4,2,13,-1,2,
Far HP,HL,120,200,60,-,6,3,16,-1,3,
Far LK,HL,40,50,20,-,3,2,8,1,4,
Far MK,HL,80,100,40,-,9,2,13,-1,2,
Far HK,HL,60*40,125*75,60*20,-,8,2(8)2,16,-2,5,
crouch LP,HL,30,50,20,ch/sp/su,3,2,7,2,5,
crouch MP,HL,60,100,40,sp/su,4,3,9,2,5,
crouch HP,HL,100,200,60,sp/su,6,4,23,-9,-4,
crouch LK,L,20,50,20,ch/sp/su,4,2,9,0,3,
crouch MK,L,60,100,40,sp/su,5,3,13,-2,1,
crouch HK,L,90,100,60,-,6,3,24,-9,-,
Jump  up LP,H,50,50,20,-,4,7,-,-,-,
Jump  up MP,H,80,100,40,-,5,3,-,-,-,
Jump  up HP,H,100,200,60,-,6,3,-,-,-,
Jump  up LK,H,40,50,20,-,5,6,-,-,-,
Jump  up MK,H,80,100,40,-,6,4,-,-,-,
Jump  up HK,H,100,200,60,-,5,3,-,-,-,
Jump  forward LP,H,50,50,20,-,4,7,-,-,-,
Jump  forward MP,H,80,100,40,-,5,3,-,-,-,
Jump  forward HP,H,100,200,60,-,6,3,-,-,-,
Jump  forward LK,H,40,50,20,-,4,6,-,-,-,
Jump  forward MK,H,70,100,40,-,6,3,-,-,-,
Jump forward HK,H,100,200,60,-,7,3,-,-,-,
Forward+MP  overhead,H,30*50,50*50,40*20,-,17,2*2,17,-5,0,
Down+MK  (air),H,60,100,40,-,12,Until ground,-,-,-,
Focus Attack LVL 1,HL,60,100,20,-,21,2,35,-21,-21,
Focus attack LVL 2,HL,80,150,40,-,17+12,2,35,-15,-,
Focus attack LVL 3,-,140,200,60,-,65,2,40,-,-,
Forward Throw,0.91,130,120,40,-,3,2,22,-,-,
Back throw,0.91,130,120,40,-,3,2,20,-,-,
Hadoken,HL,60,100,20-Oct,su,14,-,44,-4,0,
Hadoken EX,HL,60*60,100*100, -250/0,su,14,-,44,-1,-,
Shakunetsu Hadoken LP,HL,50,200, 10/30,su,25,-,50,-4,-,
Shakunetsu Hadoken MP,HL,35*35,50*100,10/16*16,su,25,-,57,-3,-,
Shakunetsu Hadoken HP,HL,33x3,35x3,10/16x3,su,25,-,63,-1,-,
Shakunetsu Hadoken EX,HL,47x3,70x2*100, -250/0,su,25,-,50,12,-,
Hadoken (air),HL,40,50, 5/20,-,14,-,16,-,-,
Hadoken EX (air),HL,40*40,50*50, -250/0,-,8,-,9,-,-,
Shoryuken LP,HL,100[70],100,30/40,su,3,14,17+18,-28,-,
Shoryuken MP,HL,70*60,80*50,30/30*16,su*su,3,2*12,25+18,-34,-,
Shoryuken HP,HL,70*50*30,70*50*30,30/30*10*10,su*su*su,3,2*2*12,28+18,-37,-,
Shoryuken EX,HL,80*60*50,100*50*50, -250/0,su*su*su,3,2*2*12,28+18,-37,-,
Hurricane Kick LK,HL,70,50,20/20,-,11,2(6)2,12+8,-9,-,
Hurricane Kick MK,HL,80*40*40,100*50*50,20/20*10*10,su,5,2(5)[2(5)2](5)1,16+12,-8,-,
Hurricane Kick HK,HL,80*40x3,100*50x3,20/20*10x3,su,5,2(5)[1(5)1](5)[1(5)1](5)1,13+8,-1,-,
Hurricane Kick EX,HL,35x5,40x5, -250/0,-,11,1(3)1(3)1(3)1(3)1,18+3,-1,-,
Hurricane Kick (air),HL,???,50, 10/30,-,9,[2(6)2](6)2,10,-,-,
Hurricane Kick EX (air),HL,40x5,50x5, -250/0,-,7,1(3)1(3)1(3)1(3)1,4,-,-,
Demon Flip,-,-,-,20/-,-,-,-,-,-,-,
Demon Flip EX,-,-,-,0/0,-,-,-,-,-,-,
Hyakki Gouzan,L,100,200,0/40,-,39+7,15,14,-11,-,
Hyakki Gousho,HL,110,200,0/30,-,27+8,2,4,-,-,
Hyakki Goujin,HL,70,100,0/30,-,27+11,Until ground,4,-,-,
Hyakki Gousai,0.9,150,150,0/60,-,27+3,2,17,-,-,
Teleport PunchPunchPunch,-,-,-,-,-,-,-,61,-,-,
Teleport KickKickKick,-,-,-,-,-,-,-,53,-,-,
Super Combo,0.9,330,0, -1000/0,-,1+0,36,13,-,-,
Ultra Combo 1,0.9,510,0,0/0,-,0+5,33,19,-,-,
Ultra Combo 2,HL,50*450,0,0/0,-,0+14,2,46,-27,-,
