move,block,damage,stun,meter,cancel,startup,active,recovery,frame_adv_block,frame_adv_hit,Notes
"Close LP",HL,25,50,20,ch/sp/su,4,2,10,-1,2,
"Close MP",HL,65,100,40,sp/su,5,2,17,2,8,
"Close HP",HL,95,200,60,sp/su,8,2,19,-3,1,
"Close LK",HL,25,50,20,-,3,2,6,3,6,
"Close MK",HL,40*30,50*50,40*20,sp/su,6,2*2,14,-2,1,
"Close HK",HL,100,200,60,su,8,2,14,2,6,
"Far LP",HL,25,50,20,ch/sp/su,4,2,5,4,7,
"Far MP",HL,70,100,40,su,6,2,13,-1,2,
"Far HP",HL,110,200,60,-,11,2,18,-2,2,
"Far LK",HL,35,50,20,-,4,2,9,0,3,
"Far MK",HL,70,100,40,-,7,2,14,-2,1,
"Far HK",HL,110,200,60,-,11,2,18,-2,2,
"crouch LP",HL,25,50,20,ch/sp/su,4,2,8,1,4,
"crouch MP",HL,70,100,40,sp/su,5,2,10,2,5,
"crouch HP",HL,100,200,60,sp/su,11,3,22,-7,-2,
"crouch LK",L,20,50,20,ch/sp/su,4,2,9,0,3,
"crouch MK",L,65,100,40,sp/su,7,2,12,0,3,
"crouch HK",L,90,150,60,-,10,2,22,-6,-,
"Jump up LP",H,45,50,20,-,4,7,-,-,-,
"Jump up MP",H,75[25],100[50],40[20],-,8,6,-,-,-,
"Jump up HP",H,100,200,60,-,12,4,-,-,-,
"Jump up LK",H,40,50,20,-,4,8,-,-,-,
"Jump up MK",H,75,100,40,-,7,5,-,-,-,
"Jump up HK",H,100,200,60,-,10,4,-,-,-,
"Jump forward LP",H,45,50,20,-,4,7,-,-,-,
"Jump forward MP",H,75,100,40,-,7,5,-,-,-,
"Jump forward HP",H,95,200,60,-,7,4,-,-,-,
"Jump forward LK",H,40,50,20,-,4,7,-,-,-,
"Jump forward MK",H,70,100,40,-,7,5,-,-,-,
"Jump forward HK",H,100,200,60,-,9,5,-,-,-,
"Jump Taunt",HL,0,0,30/70,-,14,30,22,-,-,
"Crouch Taunt",HL,0,0,30/70,-,14,26,21,-36,-33,
"Focus Attack LVL 1",HL,60,100,20,-,21,2,35,-21,-21,
"Focus attack LVL 2",HL,80,150,40,-,17+12,2,35,-15,-,
"Focus attack LVL 3",-,140,200,60,-,65,2,35,-,-,
"Forward Throw",1.03,120,100,40,-,3,2,20,-,-,
"Back throw",0.96,130,120,40,-,3,2,20,-,-,
"Gadoken LP",HL,70,100,20/20,su,14,8,40,0,4,
"Gadoken MP",HL,70,100,20/20,su,14,10,41,-1,3,
"Gadoken HP",HL,70,100,20/20,su,14,15,42,-2,2,
"Gadoken EX",HL,50*60,50*50," -250/0",su,14,20,40,3,6,
"Koryuken LP",HL,110[70],200[100],30/40,su,4,13,15+11,-18,-,
"Koryuken MP",HL,120[80],200[100],30/40,su,4,13,25+19,-36,-,
"Koryuken HP",HL,140[100],200[100],30/40,su,4,13,28+19,-39,-,
"Koryuken EX",HL,70*60,100*100," -250/0",su,4,1*12,31+19,-40,-,
"Dankukyaku LK",HL,90,100,40/30,-,17,10,11,0,-,
"Dankukyaku MK",HL,60*40,100*50,40/30*20,-,17,2(6)2,10+11,-2,-,
"Dankukyaku HK",HL,50*40*40,100*50*50,40/30*20*10,-,17,2(6)3(6)2,10+11,-2,-,
"Dankukyaku EX (1 hit)",HL,40,100," -250/0",-,8,10,5+9,-3,-,
"Dankukyaku EX (2, 3hit)",HL,40x2,50*50,-,-,8,2(9)2,8+25,-,-,
"Dankukyaku LK (air)",HL,90,100," 10/30",-,8,14,17,-,-,
"Dankukyaku MK (air)",HL,60*40,100*100,10/30*30,-,5,1(9)2,17,-,-,
"Dankukyaku HK (air)",HL,50x3,100x3,10/30x3,-,5,1(9)1(10)2,17,-,-,
"Dankukyaku EX (air)",HL,50x3,100*75*75," -250/0",-,5,1(6)1(7)1,7,-,-,
"Hisshou Buraiken",HL,15x18*110,0," -1000/0",-,1+3,174(22)14,23+26,-42,-,
"Legendary Taunt",-,-,-," -1000/0",???,1+0,-,397,-,-,
"Ultra Combo 1",HL,465,0,0/0,-,0+10,12,64,-55,-,
"Ultra Combo 2",HL,60x5*68,0,0/0,-,0+15,22,156,-85,-,
