move,hits,block,damage,Stun,startup,active,recovery,frame_adv_hit,frame_adv_block,cancel,Notes
"close LP",1,HL,25,50,3,2,5,7,4,"Ch, Sp, SU",-
"close MP",1,HL,70,100,4,4,13,6,1,"Tc, Sp, SU","Juggle Potential 1"
"close HP",2,HL,"40,50","50,50",9,3(6)3,23,6,1,"1st hit - SP, SU","Forces Stand"
"close LK",1,HL,25,50,4,2,8,4,1,"Ch, Sp, SU",-
"close MK",1,HL,65,100,4,3,17,-3,-6,"Sp, SU",-
"close HK",1,HL,110,200,12,5,19,-2,-6,-,-
"far LP",1,HL,25,50,3,3,5,6,3,"Ch, Sp, SU",-
"far MP",1,HL,70,100,7,4,14,-1,-4,"Tc, Sp, SU",-
"far HP",1,HL,90,150,7,4,23,0,-4,-,-
"far LK",1,HL,30,50,4,3,6,5,2,"Sp, SU",-
"far MK",1,HL,70,100,7,2,13,2,-1,-,-
"far HK",1,HL,110,200,8,2,23,-3,-7,-,-
cr.LP,1,HL,20,50,3,2,6,6,3,"Ch, Sp, SU",
cr.MP,1,HL,65,100,5,4,7,6,3,"Sp, SU",
cr.HP,1,HL,100,200,6,3,18,5,0,-,"Forces Stand"
cr.LK,1,L,25,50,4,3,9,2,-1,"Ch, Sp, SU",
cr.MK,1,L,65,100,6,4,12,1,-2,"Sp, SU",
cr.HK,1,L,95,100,7,2,24,-,-8,-,"Hard Knockdown"
"neutral jump LP",1,H,50,50,4,4,-,-,-,-,"1-3f lower body projectile invincible"
"neutral jump MP",1,H,80,100,5,4,-,-,-,-,"1-4f lower body projectile invincible"
"neutral jump HP",1,H,110,200,6,5,-,-,-,-,"1-5f lower body projectile invincible"
"neutral jump LK",1,H,30,50,5,5,-,-,-,-,"1-4f lower body projectile invincible"
"neutral jump MK",1,H,70,100,5,7,-,-,-,-,"1-4f lower body projectile invincible"
"neutral jump HK",1,H,100,200,5,3,-,-,-,-,"1-4f lower body projectile invincible"
"angled jump LP",1,H,50,50,4,5,-,-,-,-,"1-3f lower body projectile invincible"
"angled jump MP",1,H,80,100,5,3,-,-,-,-,"1-4f lower body projectile invincible"
"angled jump HP",1,H,100,200,5,4,-,-,-,-,"1-4f lower body projectile invincible"
"angled jump LK",1,H,30,50,4,7,-,-,-,-,"1-3f lower body projectile invincible"
"angled jump MK",1,H,70,100,5,4,-,-,-,-,"1-4f lower body projectile invincible"
"angled jump HK",1,H,100,200,6,5,-,-,-,-,"1-5f lower body projectile invincible"
"Target Combo 1",2,HL,"70,70",100100,4,4(5)4,22,-,-9,Jump,"2nd hit causes juggle state and soft knockdown, 2nd hit is forward jump cancelable on hit only"
"Target Combo 2",2,HL,"70,80",100100,04/07/14,4(7)4,26,-5,-11,-,
"Fox Tail 3MK",1,H,80,100,17,3,15,2,-3,-,
"Forward Throw",-,-,140,130,3,2,"Recovery -20",-,-,-,"Range: 0.799"
"Back Throw",-,-,135,140,3,2,"Recovery -20",-,-,-,"Range: 0.799"
"Air Throw",-,-,150,150,5,2,"Until Landing",-,-,-,"Range: 0.98, Juggle Potential 1"
"Level 1 Focus",1,HL,60,100,10+11,2,35,-21(-2),-21(-2),-,"Crumple on Counterhit, Hyper Armor for 1 hit"
"Level 2 Focus",1,HL,80,150,18+11,2,35,-,-15(+4),-,"Crumple on hit, Hyper Armor for 1 hit"
"Level 3 Focus",1,-,120,200,66,2,35,-,-,-,"Unblockable, crumple state on hit, Hyper Armor for 1 hit"
"Level 1 Red Focus",1,HL,90,100,10+11,2,35,-21(-2),-21(-2),-,"Crumple on Counterhit, Infinite Hyper Armor"
"Level 2 Red Focus",1,HL,120,150,18+11,2,35,-,-15(+4),-,"Crumple on hit, Infinite Hyper Armor"
"Level 3 Red Focus",1,-,180,200,66,2,35,-,-,-,"Unblockable, crumple state on hit, Infinite Hyper Armor"
"LP Psycho Sting",1,HL,120,180,5,9,36,-,-28,Su,"Sets up limited juggle, soft knockdown, juggle potential 1, 54 frame charge"
"MP Psycho Sting",1,HL,140,180,5,9,36,-,-28,Su,"Sets up limited juggle, soft knockdown, juggle potential 1, 54 frame charge, 1-5f projectile invincible"
"HP Psycho Sting",1,HL,160,180,5,9,36,-,-28,Su,"Sets up limited juggle, soft knockdown, 54 frame charge, 1-5f throw invincible"
"EX Psycho Sting",1,HL,160,200,5,9,36,-,-28,Su,"Sets up limited juggle, soft knockdown, 54 frame charge, 1-5f invincible"
"Spiral Arrow (any kick)",1,HL,100,100,8,"Til Landing","18 on ground",-,"+2 Max",-,"41 frame back-charge, soft knockdown, button press determines speed; from jump apex to first frame of landing recovery LK takes 31f, MK 27f, HK 25f"
"EX Spiral Arrow",1,HL,160,200,8,"Til Landing","18 on ground",-,"+9 Max",-,"41 frame back-charge, projectile invincible from first frame til landing, soft knockdown, from apex to first frame of landing recovery takes 25f"
"LP Rapid Dagger",4,HL,"16x3,32","20x2, 30,50",9,2(5)2(6)2(11)2,18,-,-3,SU,"Soft Knockdown, all hits juggle potential 1, last hit causes limited juggle state that disallows more special move juggles, only U1 is possible after"
"MP Rapid Dagger",6,HL,"10x5,40","20x4, 30,50",9,"2(5)2(6)2(4) 2(5)2(12)2",19,-,-5,SU,"Soft Knockdown, all hits juggle potential 1, last hit causes limited juggle state that disallows more special move juggles, only U1 is possible after"
"HP Rapid Dagger",8,HL,"10x7,30","20x6, 30,50",9,"2(5)2(6)2(4)2(6) 2(4)2(5)2(10)2",20,-,-7,SU,"Soft Knockdown, all hits juggle potential 1, last hit causes limited juggle state that disallows more special move juggles, only U1 is possible after"
"EX Rapid Dagger",8,HL,"15x6, 10,40","20x6, 30,100",9,"2(5)2(6)2(4)2(6) 2(4)2(5)2(11)2",15,-,0,SU,"Soft Knockdown, all hits juggle potential 1, last hit causes limited juggle state that disallows more special move juggles, only U1 is possible after"
"LK and EX Ground Scramble",-,-,-,-,-,-,-,-,-,-,"Invincible starting on 13th frame while Decapre warps forward, cancelable into followups starting on 13th frame, vulnerability returns when Decapre either nears opponent or crosses a full screen's distance, 4 frames recovery after Decapre reappears if no Break is performed, requires 41 frames of charge"
