move,block,damage,stun,meter,cancel,startup,active,recovery,frame_adv_block,frame_adv_hit,Notes
"Stand LP",HL,20,50,20,ch/sp/su,3,2,6,3,6,
"Stand MP",HL,60,100,40,sp/su,4,2,9,3,6,
"Stand HP",HL,130,200,60,su,6,6,16,-4,0,
"Stand LK",HL,40,50,20,sp/su,5,2,10,-1,2,
"Stand MK",HL,65,100,40,-,6,5,10,-1,2,
"Stand HK",HL,80,160,60,sp/su,4,3,15,0,2,
"crouch LP",HL,20,50,20,ch/sp/su,3,2,7,2,5,
"crouch MP",HL,60,100,40,sp/su,5,2,11,1,4,
"crouch HP",HL,120,200,60,-,8,4,15,-1,4,
"crouch LK",L,30,50,20,sp/su,4,4,6,1,4,
"crouch MK",L,70,100,40,-,8,6,15,-6,-,
"crouch HK",L,100,120,60,-,14,4,22,-8,-,
"Jump up LP",H,40,50,20,-,4,5,-,-,-,
"Jump up MP",H,70,100,40,-,5,5,-,-,-,
"Jump up HP",H,120,200,60,-,6,4,-,-,-,
"Jump up LK",H,40,50,20,-,4,10,-,-,-,
"Jump up MK",H,60,100,40,-,5,8,-,-,-,
"Jump up HK",H,90,200,60,-,11,5,-,-,-,
"Jump forward LP",H,40,50,20,-,4,8,-,-,-,
"Jump forward MP",H,70,100,40,-,5,5,-,-,-,
"Jump forward HP",H,120,200,60,-,6,4,-,-,-,
"Jump forward LK",H,40,50,20,-,4,16,-,-,-,
"Jump forward MK",H,60,100,40,-,5,12,-,-,-,
"Jump forward HK",H,110,200,60,-,9,10,-,-,-,
"Slipping Jab (Forward+LP)",HL,25,50,20,sp/su,5,2,10,-1,2,
"Stomach Blow (Forward+MP)",HL,80,100,40,-,7,4,10,0,3,
"Kidney Blow (Forward+MK)",HL,100,100,40,-,8,2,9,3,+5*,"+6 hit advantage on crouching opponent"
"Step Straight (Forward+HP)",HL,130,200,60,su,13,7,13,-2,2,
"Dart Shot (Forward+HK)",H,80,100,60,su,15,4,15,-1,4,
"Forward+LP &gt; MP",HL,30,50,40,sp/su,4,2,14,-2,1,
"cr. LK &gt; MK",HL,30,50,40,sp/su,4,3,13,-2,1,
"Forward+HK &gt; MK",HL,30,50,40,-,4,4,13,-3,0,
"LP &gt; MP",HL,30,50,40,-,4,2,11,1,4,
"LP &gt; MP &gt; MK",HL,30,50,40,sp/su,4,3,13,-2,1,
"MP or Forward+MK &gt; MK",HL,30,50,40,-,4,3,13,-2,1,
"MP or Forward+MK &gt; MK &gt; HP",HL,40,50,60,su,4,3,17,-2,3,
"cr. LK &gt; cr. MP",HL,30,50,40,-,4,2,16,-4,1,
"cr. LK &gt; cr. MP &gt; cr. HP",HL,40*47,50*50,50*70,-,4,1*3,16,-1,4,
"MK &gt; HK",HL,40,50,60,-,4,3,16,1,3,
"MK &gt; HK &gt; HP",HL,20*20,50*50,50*70,su,4,1*3,16,-1,4,
"LK &gt; MK",HL,30,50,40,-,4,3,13,-2,4,
"LK &gt; MK &gt; MP",HL,30,50,40,-,4,2,12,1,3,
"LK &gt; MK &gt; MP &gt; HP",HL,20*20,50*50,50*90,su,4,1*3,16,-1,4,
"Victory Rose",HL,0,0,0,su,24,55,78,-,-,
"Focus Attack LVL1",HL,60,100,20,-,21,2,35,-21,-21,
"Focus Attack LVL2",HL,80,150,40,-,17+12,2,35,-15,-,
"Focus Attack LVL3",-,140,200,60,-,65,2,35,-,-,
"Forward Throw",0.92,140,160,40,-,3,2,20,-,-,
"Back Throw",0.92,140,100,40,-,3,2,20,-,-,
"Jet Upper LP",HL,120[80],150[100],30/40,su,5,7,16+9,-11,-,
"Jet Upper MP",HL,140[100],170[100],30/40,su,5,14,16+12,-21,-,
"Jet Upper HP",HL,100*60[70],150*50,30/20x2,su,3,2*18,18+12,-32,-,
"Jet Upper EX",HL,100*80,150*50," -250/0",su,4,2*18,20+12,-29,-,
"Machinegun Blow LP",HL,20x2*50,25x2*50,10/10x3,-,9,2(5)2(10)4,21,-2,2,
"Machinegun Blow MP",HL,20x3*60,25x3*75,15/10x4,-,16,2(5)2(5)2(10)4,21,-4,1,
"Machinegun Blow HP",HL,20x5*30,25x5*75,20/10x6,-,18,2(5)2(5)2(5)2(5)2(6)4,22,-5,0,
"Machinegun Blow EX",HL,15x6*30,20x6*30," -250/0",-,18,2(5)2(5)2(5)2(5)2(6)4(7)4,20,-8,-,
"Cross Counter",-,???,100," 10/30",-,3,???,21,-,-,
"Cross Counter EX",-,???,50*100x2," -250/0",-,3,29,21,-,-,
"Short Swing Blow LK",HL,120,200,20/30,su,18,3,20,-2,2,
"Short Swing Blow MK",HL,140,200,20/30,su,21,3,22,-4,2,
"Short Swing Blow HK",HL,160,200,20/30,su,24,3,22,-4,2,
"Short Swing Blow EX",HL,50x3,50x2*100," -250/10",su,24,2(6)3(12)2,29,-2,-,
"Duck LK",-,-,-,10/-,su,-,-,20,-,-,
"Duck MK",-,-,-,10/-,su,-,-,21,-,-,
"Duck HK",-,-,-,10/-,su,-,-,25,-,-,
"Duck EX",-,-,-," -250/0",su,-,-,17,-,-,
"Ducking Straight",HL,100,200," 5/40",su,5,3,23,-5,2,
"Ducking Upper",HL,60*60,150*50,5/30*20,su,3,1*2,25,-6,2,
Thunderbolt,HL,40*60,100*100,20/20x2,-,38,5,41,-22,-,
"Thunderbolt EX",HL,20x4*90,30x4*100," -250/0",-,34,9,41,-21,-,
"Super Combo LP",HL,50*30*40*30*40*15x10*50,0," -1000/0",-,1+2,3*5(22)3*9(39)3*3*{2*1}x5,21+17,-35,-,
"Ultra Combo 1",HL,45x5*15x6*185,0,0/0,-,0+8,3(8)3(10)3(8)3(10)3(12)1*3,35,-17,-,
"Ultra Combo 2",HL,54x5[440],0,0/0,-,0+8,24,48,-27,-,
