move,block,damage,stun,meter,cancel,startup,active,recovery,frame_adv_block,frame_adv_hit,Notes
"Close LP",HL,40,50,20,sp/su,6,2,6,3,6,
"Close MP",HL,30*50,50*50,40*20,sp/su,7,2(4)1,9,4,7,
"Close HP",HL,120[100],200[150],60,su,8,6,12,0,5,
"Close LK",HL,30,50,20,sp/su,5,3,6,2,5,
"Close MK",HL,90,100,40,sp/su,5,3,12,-1,2,
"Close HK",HL,30*100,125*75,60*20,su,6,2*3,14,1,6,
"Far LP",HL,40,50,20,sp/su,6,2,6,3,6,
"Far MP",HL,90,100,40,su,8,3,12,-1,2,
"Far HP",HL,120,200,60,su,10,6,16,-2,2,
"Far LK",HL,40,50,20,sp/su,5,2,7,2,5,
"Far MK",HL,80,100,40,su,8,2,12,0,3,
"Far HK",L,100,150,60,-,7,3,22,-7,-3,
"crouch LP",HL,40,50,20,sp/su,4,4,7,0,3,
"crouch MP",HL,80,100,40,su,8,3,11,0,3,
"crouch HP",L,140,200,60,su,11,4,16,-2,2,
"crouch LK",L,30,50,20,sp/su,5,2,7,2,5,
"crouch MK",L,80,100,40,sp/su,7,3,11,0,3,
"crouch HK",L,120,200,60,-,14,2,14,2,-,
"Jump up LP",H,60,50,20,-,7,5,-,-,-,
"Jump up MP",H,90,100,40,-,6,8,-,-,-,
"Jump up HP",H,120,200,60,-,8,10,-,-,-,
"Jump up LK",H,50,50,20,-,7,9,-,-,-,
"Jump up MK",H,90,100,40,-,9,9,-,-,-,
"Jump up HK",H,130,200,60,-,7,9,-,-,-,
"Jump forward LP",H,60,50,20,-,7,6,-,-,-,
"Jump forward MP",H,90,100,40,-,7,7,-,-,-,
"Jump forward HP",H,100,200,60,-,8,5,-,-,-,
"Jump forward LK",H,50,50,20,-,6,6,-,-,-,
"Jump forward MK",H,90,100,40,-,6,8,-,-,-,
"Jump forward HK",H,110,200,60,-,6,7,-,-,-,
Downforward+HK,H,130,200,60,sp/su,30,2,19,-3,-,
"Target Combo 1",H,130,200,60,sp/su,30,2,19,-3,-,
"Focus Attack LVL 1",HL,80,100,20,-,21,2,35,-21,-21,
"Focus attack LVL 2",HL,100,150,40,-,17+12,2,35,-15,-,
"Focus attack LVL 3",-,160,200,60,-,65,2,35,-,-,
"Forward Throw",0.9,140,180,40,-,3,2,20,-,-,
"Back throw",0.9,150,100,40,-,3,2,20,-,-,
"Hundred Hands LP",HL,30x3,20x3,20/10x3,su,6,???,16,1,5,
"Hundred Hands MP",HL,30x4,20x4,20/10x4,su,9,???,15,4,8,
"Hundred Hands HP",HL,15x7,20x7,20/10x7,su,9,???,13,3,10,
"Hundred Hands (???)",HL,???,20xN,0/10xN,su,4,1(3)2(4)1(2)2(4)1(3)2,7,8,12,
"Hundred Hands EX",HL,20x7,20x7," -250/0",su,9,???,19,0,4,
"Headbutt LP",HL,100[120],200,30/40,su,13,17,14+13,-9,-,
"Headbutt MP",HL,140[130],200,30/40,su,9,21,14+13,-13,-,
"Headbutt HP",HL,160[140],200,30/40,su,8,48,14+22,-16,-,
"Headbutt EX",HL,160[140],200," -250/0",su,8,25,14+13,-8,-,
"Butt Drop LK",HL*H,80*100,100*150,30/30*20,-,14,7(14)6,18,-2,-,
"Butt Drop MK",HL*H,90*110,100*150,30/30*20,-,14,7(14)9,18,-2,-,
"Butt Drop HK",HL*H,100*120,100*150,30/30*20,-,14,7(14)15,18,-3,-,
"Butt Drop EX",HL*H,100*80,100*100," -250/0",-,9,6(14)12,18,-2,-,
Ohicho,??,???,100,30/80,-,5,2,41,-,-,
"Ohicho EX",1.52,190,150," -250/0",-,5,2,41,-,-,
"Super Combo LP",HL,160*240,0," -1000/0",-,1+8,13(36)23,14+17,-6,-,
"Super Combo MP",HL,160*240,0," -1000/0",-,1+9,16(36)23,14+17,-6,-,
"Super Combo HP",HL,160*240,0," -1000/0",-,1+9,25(36)23,14+17,-6,-,
"Ultra Combo 1",HL,60*450,0,0/0,-,0+11,24,22+13,-15,-,
"Ultra Combo 2",1.16,450,0,0/0,-,0+1,2,70,-,-,
