move,block,damage,stun,meter,cancel,startup,active,recovery,frame_adv_block,frame_adv_hit,Notes
"Close LP",HL,30,50,20,sp/su,4,2,7,+2,+5,,
"Close MP",HL,70,100,40,sp/su,7,2,11,+1,+4,,
"Close HP",HL,90,150,60,sp/su,8,2,17,-1,+3,,
"Close LK",HL,30,50,20,sp/su,5,1,7,+3,+6,,
"Close MK",HL,70,100,40,-,14,2,5+??8,-1,+2,,
"Close HK",HL,80,150,60,sp/su,12,2,16,0,-,,
"Far LP",HL,30,50,20,sp/su,4,3,6,+2,+5,,
"Far MP",HL,80,100,40,sp/su,7,3,10,+2,+5,,
"Far HP",HL,120,200,60,-,17,2,11,+5,+9,,
"Far LK",HL,30,50,20,sp/su,5,1,8,+2,+5,,
"Far MK",HL,70,100,40,sp/su,11,3,15,-4,-1,,
"Far HK",HL*H,110*100,200,60,-,19,2(6)3,??12,-5,-1,,
"crouch LP",HL,30,50,20,ch/sp/su,4,3,7,+1,+4,,
"crouch MP",HL,70,100,40,sp/su,9,2,12,0,+3,,
"crouch HP",HL,100,200,60,-,8,4,15,-1,+4,,
"crouch LK",L,20,50,20,sp/su,5,2,6,+3,+6,,
"crouch MK",L,70,100,40,sp/su,6,2,13,-1,+2,,
"crouch HK",L,80,150,60,-,17,10,9,-1,-,,
"Jump up LP",H,50,50,20,-,5,8,-,-,-,,
"Jump up MP",H,80,100,40,-,8,4,-,-,-,,
"Jump up HP",H,100,200,60,-,9,6,-,-,-,,
"Jump up LK",H,40,50,20,-,5,9,-,-,-,,
"Jump up MK",H,80,100,40,-,6,9,-,-,-,,
"Jump up HK",H,100,200,60,-,7,10,-,-,-,,
"Jump forward LP",H,50,50,20,-,5,8,-,-,-,,
"Jump forward MP",H,80,100,40,-,8,4,-,-,-,,
"Jump forward HP",H,100,200,60,-,9,6,-,-,-,,
"Jump forward LK",H,40,50,20,-,5,9,-,-,-,,
"Jump forward MK",H,80,100,40,-,6,9,-,-,-,,
"Jump forward HK",H,100,200,60,-,7,10,-,-,-,,
"Triangle Jump",-,-,-,-,-,-,-,-,-,-,,
"Tostada Press (wall Jump)",H,100,100,20/30,-,2+12,"until ground",35,-17,-,,
"Fajita Buster (wall Jump)",1.91,150,150,20/60,-,2+12,"until ground",36,-,-,,
Forward+MK,H,50,100,40,-,16,2,11,+1,+5,,
"Target Combo 1",HL,70,100,40,-,14,2,5+10,-3,0,,
"Focus Attack LVL 1",HL,60,100,20,-,21,3,34,-21,-21,,
"Focus attack LVL 2",HL,80,150,40,-,17+12,3,34,-15,-,,
"Focus attack LVL 3",-,140,200,60,-,65,3,34,-,-,,
"Forward Throw",0.90,120,120,40,-,3,2,20,-,-,,
"Back throw",0.90,120,120,40,-,3,2,20,-,-,,
"Air Throw",1.15,140,150,40,-,3,2,-,-,-,,
"Habanero Dash Forward",-,-,-,-,-,-,-,71,-,-,,
"Habanero Dash Forward EX",-,-,-,-250/0,-,-,-,49,-,-,,
"Habenero Dash Back",-,-,-,-,-,-,-,???,-,-,,
"Habanero Dash Back EX",-,-,-,-250/0,-,-,-,???,-,-,,
"Sudden Stop",-,-,-,0/0,-,-,-,3,-,-,,
"Tostada Press Forward dash",H,100,100,20/30,-,6+20,7,34,-16,-,,
"Tostada Press Back dash",H,100,100,20/30,-,6+20,7,30,-12,-,,
"Fajita Buster Forward dash",1.80,150,150,20/60,-,6+23,6,2+34,-,-,,
"Back Step",-,-,-,-,-,-,-,17,-,-,,
"Gordita Sobat",HL,80,100,20/30,su,6+14,2,18,+1,+5,,
"Calamari Slide",L,100,200,20/30,-,6+12,6,24,-9,-,,
"Propeller Tortilla",1.73,132,150,20/60,-,6+22,4,4+16,-,-,,
"Picadillo Jump",-,-,-,-,-,-,-,40,-,-,,
"Quesadilla Bomb LVL1",HL,50,100,30/40,su,17,11,18,-17,-13,,
"Quesadilla Bomb LVL2",HL,100,150,30/40,su,17,11,18,-17,-,,
"Quesadilla Bomb LVL3",HL,150,200,30/40,su,17,11,18,-17,-,,
"Quesadilla Bomb EX",HL,200,300,-250/0,su,17,11,18,-17,-,,
"Guacamole Leg Throw LK",-,0*120,100,20/0*60,-,7,6,17+11,-,-,,
"Guacamole Leg Throw MK",-,0*130,100,20/0*60,-,9,6,20+11,-,-,,
"Guacamole Leg Throw HK",-,0*140,100,20/0*60,-,11,9,16+11,-,-,,
"Guacamole Leg Throw EX",-,0*180,200,-250/0,-,11,9,12+13,-,-,,
"Super Combo LK",HL,35x4*190,0,-1000/0,-,1+3,4(8)5(14)5(13)4,32,-15,-,,
"Super Combo MK",HL,35x4*190,0,-1000/0,-,1+4,5(8)5(14)5(13)4,32,-15,-,,
"Super Combo HK",HL,35x4*190,0,-1000/0,-,1+5,6(8)5(14)5(13)4,32,-15,-,,
"Ultra Combo 1",2.14,470,0,0/0,-,0+5,12,54,-,-,,
"Ultra Combo 2",1.55,450,0,0/0,-,0+4,11,65,-,-,,
