move,block,damage,stun,meter,cancel,startup,active,recovery,frame_adv_block,frame_adv_hit,Notes
"Standing LP",HL,30,50,20,ch/sp/su,4,3,12,-4,-2,
"Standing MP",L,50*50,50*50,20*20,-,18,2*2,22,-3,1,
"Standing HP",L*HL,100*100,100*100,40*20,-,17,2*4,19,-5,0,
"Standing LK",HL,40,50,20,su,8,4,13,-3,-2,
"Standing MK",HL,100,100,40,-,7,4,22,-5,-1,
"Standing HK",HL,70*50,100*100,40*20,-,5,3(9)2,22,-6,-2,
"crouch LP",HL,40,50,20,sp/su,4,2,9,0,3,
"crouch MP",HL,70,100,40,sp/su,5,4,13,-3,-1,
"crouch HP",HL,180,300,60,-,21,5,16,-3,1,
"crouch LK",L,30,50,20,sp/su,5,6,16,-8,-,
"crouch MK",L,80,100,40,su,8,3,21,-1,1,
"crouch HK",HL,120,150,60,-,5,5,31,-16,-12,
"Jump LP",H,50,50,20,-,4,7,-,-,-,
"Jump MP",H,80[90],100,40,-,4,5,-,-,-,
"Jump HP",H,100[110],200,60,-,5,7,-,-,-,
"Jump LK",H,40,50,20,-,4,9,-,-,-,
"Jump MK",H,90[70],100,40,-,4,8,-,-,-,
"Jump HK",H,100,200,60,-,6,3,-,-,-,
"??? (switch style?)",-,-,-,-,-,-,-,5,-,-,
"Shakudan (overhead)",H,50,50,20,-,4,2,-,-,-,
"Focus Attack LVL 1",HL,60,100,20,-,21,2,35,-21,-21,
"Focus attack LVL 2",HL,90,150,40,-,17+12,2,35,-15,-,
"Focus attack LVL 3",-,150,200,60,-,65,2,35,-,-,
"Forward Throw",0.99,130,100,40,-,3,2,20,-,-,
"Back Throw",1.09,120,100,40,-,3,2,20,-,-,
"Jasen LP",HL,20x2*60,20x2*80,20/8x2*20,su,6,3(5)1(5)4,20,-3,1,
"Jasen MP",HL,20x3*65,20x3*80,20/8x3*20,su,6,3(7)3(11)1(5)4,20,-3,1,
"Jasen HP",HL,20x4*70,20x4*80,20/8x4*20,su,6,3(7)3(12)3(11)1(5)4,20,-3,1,
"Jasen EX",HL,20x4*80,50x5," -250/0",su,6,3(7)3(12)3(11)1(5)4,20,-3,1,
Oga,-,-,-,-,-,-,-,27,-,-,
"Oga EX",-,-,-," -250/0",-,-,-,27,-,-,
"Oga EX Far",H,150,150,-,-,7,7,13,-13,-,
"Oga Stop",-,-,-,-,-,-,-,30,-,-,
"Oga Close",H,100,150,30/50,-,13,6,13,-8,-,
"Oga Far",H,100,150,30/50,-,12,7,13,-13,-,
"Oga Ceiling",-,-,-,-,-,-,-,64,-,-,
"Oga Ceiling Drop",H,100,150,30/50,-,3,15,13,-,-,
"Oga Super Close",H,100,150,30/50,-,3,14,1+12,-,-,
"Super Combo",-,320,0," -1000/0",-,1+1,19,16+16,-,-,
"Ultra Combo 1",-,398,0,0/0,-,0+11,8,25+28,-,-,
"Ultra Combo 2",H,428,0,0/0,-,0+10,"until ground",26,-,-,
